"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.816470588235294,0.0209521358358861,0.00209521358358861,"weighted","soil micro-food web","arable"
"2",0.1,0.792941176470588,0.029830647553584,0.0029830647553584,"weighted","soil micro-food web","arable"
"3",0.15,0.728235294117647,0.0334745879879538,0.00334745879879538,"weighted","soil micro-food web","arable"
"4",0.2,0.670588235294118,0.0407455595389036,0.00407455595389036,"weighted","soil micro-food web","arable"
"5",0.25,0.647647058823529,0.0371515594539146,0.00371515594539146,"weighted","soil micro-food web","arable"
"6",0.3,0.598235294117647,0.0401449611931032,0.00401449611931032,"weighted","soil micro-food web","arable"
"7",0.35,0.539705882352941,0.0433181670655267,0.00433181670655267,"weighted","soil micro-food web","arable"
"8",0.4,0.487352941176471,0.0405854795967914,0.00405854795967914,"weighted","soil micro-food web","arable"
"9",0.45,0.459411764705882,0.0413374326135636,0.00413374326135636,"weighted","soil micro-food web","arable"
"10",0.5,0.392352941176471,0.0454531473693626,0.00454531473693626,"weighted","soil micro-food web","arable"
"11",0.55,0.348529411764706,0.0420904837437375,0.00420904837437375,"weighted","soil micro-food web","arable"
"12",0.6,0.319705882352941,0.0433746103245111,0.00433746103245111,"weighted","soil micro-food web","arable"
"13",0.65,0.270882352941176,0.037459565422297,0.0037459565422297,"weighted","soil micro-food web","arable"
"14",0.7,0.221470588235294,0.0408430178773384,0.00408430178773384,"weighted","soil micro-food web","arable"
"15",0.75,0.167647058823529,0.0358395174026437,0.00358395174026437,"weighted","soil micro-food web","arable"
"16",0.8,0.152058823529412,0.0334576166847222,0.00334576166847222,"weighted","soil micro-food web","arable"
"17",0.85,0.0879411764705882,0.0372724885781636,0.00372724885781636,"weighted","soil micro-food web","arable"
"18",0.9,0.0420588235294118,0.0324500244889934,0.00324500244889934,"weighted","soil micro-food web","arable"
"19",0.95,0.0205882352941176,0.0281983814965354,0.00281983814965354,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.848823529411765,0.0229046588404131,0.00229046588404131,"unweighted","soil micro-food web","arable"
"22",0.1,0.82,0.0244759123967137,0.00244759123967137,"unweighted","soil micro-food web","arable"
"23",0.15,0.757352941176471,0.031108233713061,0.0031108233713061,"unweighted","soil micro-food web","arable"
"24",0.2,0.695588235294118,0.0324823211125524,0.00324823211125524,"unweighted","soil micro-food web","arable"
"25",0.25,0.667058823529412,0.0378274791431179,0.00378274791431179,"unweighted","soil micro-food web","arable"
"26",0.3,0.609117647058824,0.0347992138615192,0.00347992138615192,"unweighted","soil micro-food web","arable"
"27",0.35,0.552352941176471,0.0361018679206313,0.00361018679206313,"unweighted","soil micro-food web","arable"
"28",0.4,0.490882352941176,0.0361296911680864,0.00361296911680864,"unweighted","soil micro-food web","arable"
"29",0.45,0.459705882352941,0.0406715068876305,0.00406715068876305,"unweighted","soil micro-food web","arable"
"30",0.5,0.406176470588235,0.0373193457072045,0.00373193457072045,"unweighted","soil micro-food web","arable"
"31",0.55,0.352352941176471,0.044630608674379,0.0044630608674379,"unweighted","soil micro-food web","arable"
"32",0.6,0.325588235294118,0.04080020772158,0.004080020772158,"unweighted","soil micro-food web","arable"
"33",0.65,0.271764705882353,0.0407712854550974,0.00407712854550974,"unweighted","soil micro-food web","arable"
"34",0.7,0.214117647058824,0.0414007979861218,0.00414007979861218,"unweighted","soil micro-food web","arable"
"35",0.75,0.167647058823529,0.0397688262340875,0.00397688262340875,"unweighted","soil micro-food web","arable"
"36",0.8,0.140882352941176,0.0305183968946537,0.00305183968946537,"unweighted","soil micro-food web","arable"
"37",0.85,0.100294117647059,0.0329417600321793,0.00329417600321793,"unweighted","soil micro-food web","arable"
"38",0.9,0.045,0.0335619193824013,0.00335619193824013,"unweighted","soil micro-food web","arable"
"39",0.95,0.0176470588235294,0.0270921286159905,0.00270921286159905,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
