nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
ProASV12	-0.544704779401922	0.277777777777778	6	2
ProASV121	0	0	1	6
ProASV14	0.541602560309064	0	7	1
ProASV15	-0.544704779401922	0	5	2
ProASV151	0.541602560309064	0	7	1
ProASV167	0.541602560309064	0	7	1
ProASV169	0.541602560309064	0	7	1
ProASV172	-1.08320512061813	0	3	1
ProASV189	0.541602560309064	0	7	1
ProASV190	0.726273039202562	0	6	2
ProASV196	0	0	1	7
ProASV198	0.541602560309064	0	7	1
ProASV200	0	0	3	3
ProASV206	1.35400640077266	0	9	1
ProASV217	0.726273039202562	0	6	2
ProASV227	0	0	1	7
ProASV228	0	0	3	3
ProASV229	1.22474487139159	0	3	4
ProASV230	0.541602560309064	0	7	1
ProASV241	0	0	1	5
ProASV246	0	0	1	5
ProASV247	-1.81568259800641	0	4	2
ProASV248	0.726273039202562	0	6	2
ProASV249	-1.22474487139159	0	1	4
ProASV253	0.726273039202562	0	6	2
ProASV32	0	0	1	6
ProASV42	0	0.375	4	3
ProASV51	-1.08320512061813	0	3	1
ProASV65	-1.89560896108172	0	1	1
ProASV73	-1.08320512061813	0	3	1
ProASV74	0	0	2	4
ProASV8	0	0	3	3
ProASV84	0	0	2	4
