	ProASV3	ProASV8	ProASV9	ProASV12	ProASV15	ProASV22	ProASV76	ProASV80	ProASV81	ProASV95	ProASV106	ProASV160	ProASV171	ProASV176	ProASV200	ProASV217	ProASV237	ProASV241	ProASV246	ProASV253	ProASV255
ProASV3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ProASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ProASV9	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
ProASV12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV22	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ProASV76	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1
ProASV80	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1
ProASV81	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1
ProASV95	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ProASV106	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV160	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1
ProASV171	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ProASV176	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1
ProASV200	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ProASV237	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ProASV246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ProASV253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ProASV255	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0
