	ProASV32	ProASV42	ProASV51	ProASV55	ProASV57	ProASV63	ProASV65	ProASV67	ProASV75	ProASV95	ProASV116	ProASV121	ProASV129	ProASV133	ProASV134	ProASV148	ProASV162	ProASV170	ProASV171	ProASV182	ProASV190	ProASV203	ProASV207	ProASV211	ProASV214	ProASV217	ProASV228	ProASV229	ProASV241	ProASV246	ProASV247	ProASV248	ProASV249	ProASV253
ProASV32	0	0	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV42	0	0	0	0	0	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.846769196587333	0	0	0	0	-0.957831325301205	0	0	0	0	0	0	0
ProASV51	0	0	0	0	0	0	0.935414346693485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV55	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ProASV57	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ProASV63	0	0	0	0	0	0	0	0	0	0	0	-0.721225366978695	0	0	0	0	-0.945471909652743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV65	0	0	0.935414346693485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV67	0	-0.858286364036068	0	0	0	0	0	0	0	0	0	0	0.75541616205033	0.75541616205033	0	0.75541616205033	0	0	0	0.75541616205033	0	0.955993750310592	0	0	0	0	0.833587475862369	0	0	0	0	0.759490811341269	0	0.724267208806849
ProASV75	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ProASV95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932227235735804	0	0	-0.790433332862751	0	0	0	0	0	0	0
ProASV121	-0.939411192283174	0	0	0	0	-0.721225366978695	0	0	0	0	0	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV129	0	0	0	0	0	0	0	0.75541616205033	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0	0
ProASV133	0	0	0	0	0	0	0	0.75541616205033	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0	0
ProASV134	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ProASV148	0	0	0	0	0	0	0	0.75541616205033	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0	0
ProASV162	0	0	0	0	0	-0.945471909652743	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV170	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ProASV171	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV182	0	0	0	0	0	0	0	0.75541616205033	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0	0
ProASV190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0.711777005827033	0.734939759036145	0	0.994029797388005
ProASV203	0	-0.846769196587333	0	0	0	0	0	0.955993750310592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0	0	0	0
ProASV207	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ProASV211	0	0	0	0	0	0	0	0	0	0	-0.932227235735804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV214	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ProASV217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0	0	0	0	0.75	0.724049023168879	0	0.975900072948533
ProASV228	0	-0.957831325301205	0	0	0	0	0	0.833587475862369	0	0	-0.790433332862751	0	0	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0	0	0	0	0	0	0	0	0
ProASV229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944911182523068	0
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0	0
ProASV246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0	0	0
ProASV247	0	0	0	0	0	0	0	0	0	0	0	0	0.750679963874929	0.750679963874929	0	0.750679963874929	0	0	0	0.750679963874929	0.711777005827033	0	0	0	0	0.75	0	0	0	0	0	0.93267331798025	0	0.707527552887687
ProASV248	0	0	0	0	0	0	0	0.759490811341269	0	0	0	0	0.736988602787921	0.736988602787921	0	0.736988602787921	0	0	0	0.736988602787921	0.734939759036145	0	0	0	0	0.724049023168879	0	0	0	0	0.93267331798025	0	0	0.742528282386221
ProASV249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944911182523068	0	0	0	0	0	0
ProASV253	0	0	0	0	0	0	0	0.724267208806849	0	0	0	0	0	0	0	0	0	0	0	0	0.994029797388005	0	0	0	0	0.975900072948533	0	0	0	0	0.707527552887687	0.742528282386221	0	0
