	ProASV7	ProASV32	ProASV42	ProASV43	ProASV59	ProASV61	ProASV63	ProASV67	ProASV86	ProASV121	ProASV139	ProASV141	ProASV161	ProASV162	ProASV184	ProASV190	ProASV203	ProASV209	ProASV217	ProASV224	ProASV228	ProASV236	ProASV241	ProASV246	ProASV247	ProASV248	ProASV253
ProASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ProASV32	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV42	0	0	0	0	0	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	-0.846769196587333	0	0	0	-0.957831325301205	0	0	0	0	0	0
ProASV43	0	0	0	0	0.755928946018454	0.989743318610787	0	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454	0	0	0	0	0
ProASV59	0	0	0	0.755928946018454	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ProASV61	0	0	0	0.989743318610787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV63	0	0	0	0	0	0	0	0	0	-0.721225366978695	0	0	0	-0.945471909652743	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV67	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955993750310592	0	0	0	0.833587475862369	0	0	0	0	0.759490811341269	0.724267208806849
ProASV86	0	0	0	0.755928946018454	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ProASV121	0	-0.939411192283174	0	0	0	0	-0.721225366978695	0	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV139	0	0	0	0.755928946018454	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ProASV141	0	0	0	0.755928946018454	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ProASV161	0	0	0	0.755928946018454	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ProASV162	0	0	0	0	0	0	-0.945471909652743	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV184	0	0	0	0.755928946018454	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ProASV190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0.711777005827033	0.734939759036145	0.994029797388005
ProASV203	0	0	-0.846769196587333	0	0	0	0	0.955993750310592	0	0	0	0	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0	0	0
ProASV209	0	0	0	0.755928946018454	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ProASV217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0	0	0	0.75	0.724049023168879	0.975900072948533
ProASV224	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV228	0	0	-0.957831325301205	0	0	0	0	0.833587475862369	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0	0	0	0	0	0	0
ProASV236	0	0	0	0.755928946018454	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0
ProASV246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0	0
ProASV247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711777005827033	0	0	0.75	0	0	0	0	0	0	0.93267331798025	0.707527552887687
ProASV248	0	0	0	0	0	0	0	0.759490811341269	0	0	0	0	0	0	0	0.734939759036145	0	0	0.724049023168879	0	0	0	0	0	0.93267331798025	0	0.742528282386221
ProASV253	0	0	0	0	0	0	0	0.724267208806849	0	0	0	0	0	0	0	0.994029797388005	0	0	0.975900072948533	0	0	0	0	0	0.707527552887687	0.742528282386221	0
