	ProASV3	ProASV12	ProASV15	ProASV21	ProASV22	ProASV32	ProASV42	ProASV44	ProASV51	ProASV65	ProASV73	ProASV102	ProASV103	ProASV106	ProASV116	ProASV121	ProASV152	ProASV154	ProASV157	ProASV158	ProASV172	ProASV190	ProASV206	ProASV211	ProASV217	ProASV228	ProASV241	ProASV246	ProASV253
ProASV3	0	0.813733471206735	0.780519860137072	0	0.959183673469388	0	0	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV12	0.813733471206735	0	0.972972972972973	0	0.780519860137072	0	0.727310654409058	0	0	0	0	0	0	0.780519860137072	0	0	0	0	0	0	0	-0.803869670662643	0	0	-0.85779415410156	0	0	0	-0.837121377562538
ProASV15	0.780519860137072	0.972972972972973	0	0	0.813733471206735	0	0	0	0	0	0	0	0	0.813733471206735	0	0	0	0	0	0	0	-0.740070490451322	0	0	-0.779812867365055	0	0	0	-0.761019434147762
ProASV21	0	0	0	0	0.755928946018454	0	0	1	0	0	0.755928946018454	1	1	0.755928946018454	0	0	1	1	1	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV22	0.959183673469388	0.780519860137072	0.813733471206735	0.755928946018454	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	1	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0	0
ProASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV42	0	0.727310654409058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.957831325301205	0	0	0
ProASV44	0	0	0	1	0.755928946018454	0	0	0	0	0	0.755928946018454	1	1	0.755928946018454	0	0	1	1	1	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV51	0	0	0	0	0	0	0	0	0	0.935414346693485	0.717137165600636	0	0	0	0	0	0	0	0	0	0.717137165600636	0	0	0	0	0	0	0	0
ProASV65	0	0	0	0	0	0	0	0	0.935414346693485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV73	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.717137165600636	0	0	0.755928946018454	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	1	0	0.959183673469388	0	0	0	0	0	0
ProASV102	0	0	0	1	0.755928946018454	0	0	1	0	0	0.755928946018454	0	1	0.755928946018454	0	0	1	1	1	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV103	0	0	0	1	0.755928946018454	0	0	1	0	0	0.755928946018454	1	0	0.755928946018454	0	0	1	1	1	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV106	0.959183673469388	0.780519860137072	0.813733471206735	0.755928946018454	1	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0	0	0	0	0	0	0
ProASV116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932227235735804	0	-0.790433332862751	0	0	0
ProASV121	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV152	0	0	0	1	0.755928946018454	0	0	1	0	0	0.755928946018454	1	1	0.755928946018454	0	0	0	1	1	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV154	0	0	0	1	0.755928946018454	0	0	1	0	0	0.755928946018454	1	1	0.755928946018454	0	0	1	0	1	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV157	0	0	0	1	0.755928946018454	0	0	1	0	0	0.755928946018454	1	1	0.755928946018454	0	0	1	1	0	1	0.755928946018454	0	0	0	0	0	0	0	0
ProASV158	0	0	0	1	0.755928946018454	0	0	1	0	0	0.755928946018454	1	1	0.755928946018454	0	0	1	1	1	0	0.755928946018454	0	0	0	0	0	0	0	0
ProASV172	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0.717137165600636	0	1	0.755928946018454	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.959183673469388	0	0	0	0	0	0
ProASV190	0	-0.803869670662643	-0.740070490451322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0.994029797388005
ProASV206	0	0	0	0	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0
ProASV211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932227235735804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV217	0	-0.85779415410156	-0.779812867365055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0	0.975900072948533
ProASV228	0	0	0	0	0	0	-0.957831325301205	0	0	0	0	0	0	0	-0.790433332862751	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0
ProASV246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0
ProASV253	0	-0.837121377562538	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994029797388005	0	0	0.975900072948533	0	0	0	0
