	ProASV3	ProASV8	ProASV9	ProASV12	ProASV15	ProASV22	ProASV76	ProASV80	ProASV81	ProASV95	ProASV106	ProASV160	ProASV171	ProASV176	ProASV200	ProASV217	ProASV237	ProASV241	ProASV246	ProASV253	ProASV255
ProASV3	0	0	0.755928946018454	0.813733471206735	0.780519860137072	0.959183673469388	0.755928946018454	0.755928946018454	0.755928946018454	0	0.959183673469388	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454
ProASV8	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	1	0	0.755928946018454	0	0	0	0.755928946018454
ProASV9	0.755928946018454	0.755928946018454	0	0	0	0	1	1	1	0	0	1	0	1	0.755928946018454	0	1	0	0	0	1
ProASV12	0.813733471206735	0	0	0	0.972972972972973	0.780519860137072	0	0	0	0	0.780519860137072	0	0	0	0	-0.85779415410156	0	0	0	-0.837121377562538	0
ProASV15	0.780519860137072	0	0	0.972972972972973	0	0.813733471206735	0	0	0	0	0.813733471206735	0	0	0	0	-0.779812867365055	0	0	0	-0.761019434147762	0
ProASV22	0.959183673469388	0	0	0.780519860137072	0.813733471206735	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ProASV76	0.755928946018454	0.755928946018454	1	0	0	0	0	1	1	0	0	1	0	1	0.755928946018454	0	1	0	0	0	1
ProASV80	0.755928946018454	0.755928946018454	1	0	0	0	1	0	1	0	0	1	0	1	0.755928946018454	0	1	0	0	0	1
ProASV81	0.755928946018454	0.755928946018454	1	0	0	0	1	1	0	0	0	1	0	1	0.755928946018454	0	1	0	0	0	1
ProASV95	0	0	0	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0
ProASV106	0.959183673469388	0	0	0.780519860137072	0.813733471206735	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV160	0.755928946018454	0.755928946018454	1	0	0	0	1	1	1	0	0	0	0	1	0.755928946018454	0	1	0	0	0	1
ProASV171	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0
ProASV176	0.755928946018454	0.755928946018454	1	0	0	0	1	1	1	0	0	1	0	0	0.755928946018454	0	1	0	0	0	1
ProASV200	0	1	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454
ProASV217	0	0	0	-0.85779415410156	-0.779812867365055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975900072948533	0
ProASV237	0.755928946018454	0.755928946018454	1	0	0	0	1	1	1	0	0	1	0	1	0.755928946018454	0	0	0	0	0	1
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0
ProASV246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0
ProASV253	0	0	0	-0.837121377562538	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0.975900072948533	0	0	0	0	0
ProASV255	0.755928946018454	0.755928946018454	1	0	0	0	1	1	1	0	0	1	0	1	0.755928946018454	0	1	0	0	0	0
