	ProASV7	ProASV12	ProASV13	ProASV15	ProASV24	ProASV32	ProASV42	ProASV54	ProASV63	ProASV67	ProASV74	ProASV78	ProASV84	ProASV96	ProASV98	ProASV121	ProASV162	ProASV178	ProASV203	ProASV217	ProASV224	ProASV228	ProASV229	ProASV245	ProASV249	ProASV253
ProASV7	0	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0	0	1	0	0	0.755928946018454	0	0
ProASV12	0	0	0	0.972972972972973	0	0	0.727310654409058	0	0	-0.817430074136815	0	0	0	0	0	0	0	0	-0.7148284617513	-0.85779415410156	0	0	0	0	0	-0.837121377562538
ProASV13	0.755928946018454	0	0	0	1	0	0	1	0	0	0.755928946018454	1	0.755928946018454	1	1	0	0	1	0	0	0.755928946018454	0	0	1	0	0
ProASV15	0	0.972972972972973	0	0	0	0	0	0	0	-0.817430074136815	0	0	0	0	0	0	0	0	-0.7148284617513	-0.779812867365055	0	0	0	0	0	-0.761019434147762
ProASV24	0.755928946018454	0	1	0	0	0	0	1	0	0	0.755928946018454	1	0.755928946018454	1	1	0	0	1	0	0	0.755928946018454	0	0	1	0	0
ProASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0
ProASV42	0	0.727310654409058	0	0	0	0	0	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	-0.846769196587333	0	0	-0.957831325301205	0	0	0	0
ProASV54	0.755928946018454	0	1	0	1	0	0	0	0	0	0.755928946018454	1	0.755928946018454	1	1	0	0	1	0	0	0.755928946018454	0	0	1	0	0
ProASV63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.721225366978695	-0.945471909652743	0	0	0	0	0	0	0	0	0
ProASV67	0	-0.817430074136815	0	-0.817430074136815	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	0	0	0	0.955993750310592	0	0	0.833587475862369	0	0	0	0.724267208806849
ProASV74	0	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454	1	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0.818923024853326	0.755928946018454	0	0
ProASV78	0.755928946018454	0	1	0	1	0	0	1	0	0	0.755928946018454	0	0.755928946018454	1	1	0	0	1	0	0	0.755928946018454	0	0	1	0	0
ProASV84	0	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	1	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0.818923024853326	0.755928946018454	0	0
ProASV96	0.755928946018454	0	1	0	1	0	0	1	0	0	0.755928946018454	1	0.755928946018454	0	1	0	0	1	0	0	0.755928946018454	0	0	1	0	0
ProASV98	0.755928946018454	0	1	0	1	0	0	1	0	0	0.755928946018454	1	0.755928946018454	1	0	0	0	1	0	0	0.755928946018454	0	0	1	0	0
ProASV121	0	0	0	0	0	-0.939411192283174	0	0	-0.721225366978695	0	0	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0
ProASV162	0	0	0	0	0	0	0	0	-0.945471909652743	0	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0
ProASV178	0.755928946018454	0	1	0	1	0	0	1	0	0	0.755928946018454	1	0.755928946018454	1	1	0	0	0	0	0	0.755928946018454	0	0	1	0	0
ProASV203	0	-0.7148284617513	0	-0.7148284617513	0	0	-0.846769196587333	0	0	0.955993750310592	0	0	0	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0
ProASV217	0	-0.85779415410156	0	-0.779812867365055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975900072948533
ProASV224	1	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0
ProASV228	0	0	0	0	0	0	-0.957831325301205	0	0	0.833587475862369	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0	0	0	0
ProASV229	0	0	0	0	0	0	0	0	0	0	0.818923024853326	0	0.818923024853326	0	0	0	0	0	0	0	0	0	0	0	0.944911182523068	0
ProASV245	0.755928946018454	0	1	0	1	0	0	1	0	0	0.755928946018454	1	0.755928946018454	1	1	0	0	1	0	0	0.755928946018454	0	0	0	0	0
ProASV249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944911182523068	0	0	0
ProASV253	0	-0.837121377562538	0	-0.761019434147762	0	0	0	0	0	0.724267208806849	0	0	0	0	0	0	0	0	0	0.975900072948533	0	0	0	0	0	0
