id	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
ProASV7	0	0	0	0.007058824	0	0	0.075882353	0
ProASV12	0	0	0	0	0.040588235	0.050588235	0.002352941	0.003529412
ProASV13	0	0	0	0	0	0	0.001176471	0
ProASV15	0	0	0	0	0.031176471	0.03	0.009411765	0.028235294
ProASV24	0	0	0	0	0	0	0.002352941	0
ProASV32	0.008823529	0.021764706	0.016470588	0.021176471	0.008823529	0.064117647	0.004705882	0.019411765
ProASV42	0.004705882	0	0.007647059	0.004705882	0.017058824	0.038823529	0.000588235	0.022352941
ProASV54	0	0	0	0	0	0	0.006470588	0
ProASV63	0.005882353	0.004117647	0	0.005294118	0	0.007058824	0.002352941	0.006470588
ProASV67	0.019411765	0.006470588	0.004117647	0.005882353	0	0	0.005882353	0
ProASV74	0	0	0	0	0	0	0.008823529	0.000588235
ProASV78	0	0	0	0	0	0	0.001176471	0
ProASV84	0	0	0	0	0	0	0.007058824	0.001176471
ProASV96	0	0	0	0	0	0	0.006470588	0
ProASV98	0	0	0	0	0	0	0.005882353	0
ProASV121	0.002352941	0.000588235	0.002352941	0.001176471	0.006470588	0	0.003529412	0.001176471
ProASV162	0.000588235	0.002352941	0.005294118	0.003529412	0.008235294	0	0.003529412	0
ProASV178	0	0	0	0	0	0	0.000588235	0
ProASV203	0.008823529	0.004705882	0.002941176	0.003529412	0	0	0.007058824	0
ProASV217	0.011176471	0.007647059	0.007647059	0.007647059	0.004705882	0.000588235	0.001176471	0.001764706
ProASV224	0	0	0	0.001176471	0	0	0.001764706	0
ProASV228	0.011176471	0.013529412	0.003529412	0.003529412	0.002941176	0	0.016470588	0.000588235
ProASV229	0.002352941	0	0	0	0	0	0.002941176	0.002352941
ProASV245	0	0	0	0	0	0	0.004705882	0
ProASV249	0.006470588	0	0	0	0	0	0.003529412	0.001764706
ProASV253	0.133529412	0.061176471	0.052352941	0.066470588	0.014705882	0.007647059	0.008235294	0.012941176
