	ProASV8	ProASV12	ProASV14	ProASV15	ProASV32	ProASV42	ProASV51	ProASV65	ProASV73	ProASV74	ProASV84	ProASV121	ProASV151	ProASV167	ProASV169	ProASV172	ProASV189	ProASV190	ProASV196	ProASV198	ProASV200	ProASV206	ProASV217	ProASV227	ProASV228	ProASV229	ProASV230	ProASV241	ProASV246	ProASV247	ProASV248	ProASV249	ProASV253
ProASV8	0	0	0	0	0	0.768349819927832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.768349819927832	0	0	0	0	0	0	0	0
ProASV12	0	0	0	0.972972972972973	0	0.727310654409058	0	0	0	0	0	0	0	0	0	0	0	-0.803869670662643	0	0	0	0	-0.85779415410156	0	0	0	0	0	0	0	-0.759210244514719	0	-0.837121377562538
ProASV14	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0.755928946018454	0	0	0	0	1	0	0	0	0	0	0
ProASV15	0	0.972972972972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.740070490451322	0	0	0	0	-0.779812867365055	0	0	0	0	0	0	0	-0.784729916599247	0	-0.761019434147762
ProASV32	0	0	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV42	0.768349819927832	0.727310654409058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768349819927832	0	0	0	-0.957831325301205	0	0	0	0	0	0	0	0
ProASV51	0	0	0	0	0	0	0	0.935414346693485	0.717137165600636	0	0	0	0	0	0	0.717137165600636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV65	0	0	0	0	0	0	0.935414346693485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV73	0	0	0	0	0	0	0.717137165600636	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0	0
ProASV74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818923024853326	0	0	0	0	0	0	0
ProASV84	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818923024853326	0	0	0	0	0	0	0
ProASV121	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV151	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0.755928946018454	0	0	0	0	1	0	0	0	0	0	0
ProASV167	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0.755928946018454	0	0	0	0	1	0	0	0	0	0	0
ProASV169	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0.755928946018454	0	0	0	0	1	0	0	0	0	0	0
ProASV172	0	0	0	0	0	0	0.717137165600636	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0	0
ProASV189	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0.755928946018454	0	0	0	0	1	0	0	0	0	0	0
ProASV190	0	-0.803869670662643	0	-0.740070490451322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0	0.711777005827033	0.734939759036145	0	0.994029797388005
ProASV196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ProASV198	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0.755928946018454	0	0	0	0	1	0	0	0	0	0	0
ProASV200	1	0	0	0	0	0.768349819927832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.768349819927832	0	0	0	0	0	0	0	0
ProASV206	0	0	0.755928946018454	0	0	0	0	0	0.959183673469388	0	0	0	0.755928946018454	0.755928946018454	0.755928946018454	0.959183673469388	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0
ProASV217	0	-0.85779415410156	0	-0.779812867365055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0	0	0	0	0	0	0.75	0.724049023168879	0	0.975900072948533
ProASV227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV228	-0.768349819927832	0	0	0	0	-0.957831325301205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.768349819927832	0	0	0	0	0	0	0	0	0	0	0	0
ProASV229	0	0	0	0	0	0	0	0	0	0.818923024853326	0.818923024853326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944911182523068	0
ProASV230	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0.755928946018454	0	0	0	0	0	0	0	0	0	0	0
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0	0
