ID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
BACasv1	0.001920898	0.001738802	0.002109224	0.00235304	0.07212455	0.078850204	0	0
BACasv2	0	0	0	0	0.075990256	0.046983026	0	0.0001153
BACasv3	0	0	0	0	0.013132811	0.010333292	0	0
BACasv4	0.003743289	0.001852202	0.006213659	0.004285894	0.07667867	0.060339487	0.00839079	0.013317191
BACasv5	0.028370192	0.016254016	0.024455592	0.01794193	0.017104427	0.015735349	0.029595421	0.015565548
BACasv6	0.00413732	0.008920809	0.021833314	0.01911845	0.021976276	0.02584562	0.021074541	0.015277297
BACasv7	0.001723883	0.0002646	0.000855091	0.002016891	0.005401398	0.023392393	0.003057109	0.002767209
BACasv8	0	0	0	0	0.005560263	0.007434023	0	0
BACasv9	0.00349702	0.008807409	0.013738456	0.008781882	0.005401398	0.00968901	0	0
BACasv10	0.008619416	0.015309015	0.009577015	0.012143367	0.014191908	0.028051047	0.037400807	0.048887352
BACasv11	0	0	0	0	0.061427664	0.05491265	0	0
BACasv12	0	0	0	0	0.008049142	0.015512328	0	0
BACasv13	0	0	0	0	0.021764457	0.01598315	0	0
BACasv14	0.001674629	0.003515404	0.005073538	0.007605362	0.058197416	0.079519267	0.001300898	0.000864753
BACasv15	0	0	0	0	0	0.010060711	0	0
BACasv16	0.042358272	0.029181629	0.050621366	0.046598597	0	0.000569942	0.035969819	0.064856451
BACasv17	0.000837315	0.001965602	0.001710181	0.002269003	0.015303961	0.011126254	0	0.000634152
BACasv18	0.001822391	0.004347004	0.005016532	0.003781671	0.008949375	0.00309751	0	0.001844806
BACasv19	0	0.001171801	0.00028503	0.000630279	0.029442915	0.018064676	0.000975673	0
BACasv20	0	0	0	0	0.020758314	0.02254987	0	0
BACasv21	0.003743289	0.003250803	0.004047429	0.001974873	0.013397585	0.018634618	0.009821777	0.017698605
BACasv22	0	0	0	0	0.007890277	0.010481972	0	0
BACasv23	0	0	0	0	0.014191908	0.00954033	0	0
BACasv24	0	0	0	0	0.000423639	0	0.08462339	0
BACasv25	0.004038812	0.001701002	0.001824193	0.002226984	0.020864224	0.019824061	0.015415637	0.009224029
BACasv26	0.005713441	0.003666604	0.003705393	0.004327913	0.012073713	0.012241358	0.006764668	0.013259541
BACasv27	0.000837315	0	0	0.000714316	0.032884982	0.033577004	0.003837648	0.002133057
BACasv28	0	0	0	0	0.000476594	0.000867303	0	0
BACasv29	0.002708959	0.004120204	0.002679284	0.001344594	0.007996187	0.00956511	0.003902693	0.004669664
BACasv30	0	0	0	0	0.006990044	0.010506753	0	0
BACasv31	0	0	0	0	0.021552637	0.01613183	0	0
BACasv32	0.003940304	0.001965602	0.004446471	0.003907727	0.001853421	0	0.007675296	0.008301626
BACasv33	0.009407477	0.02003402	0.034887698	0.026891886	0.006142766	0.003717012	0.008911149	0.016545601
BACasv34	0	0	0	0	0	0	0.031026408	0.001787156
BACasv35	0.015908979	0.013494613	0.016189716	0.009580234	0.007678458	0.008078305	0.010277091	0.013086591
BACasv36	0	0	0	0	0.007943232	0.005402057	0	0
BACasv37	0	0	0	0	0.003124338	0.002403667	0	0
BACasv38	0	0	0	0	0.00206524	0.001585925	0	0
BACasv39	0	0	0	0	0.003865706	0.003989592	0.000520359	0
BACasv40	0.000935822	0	0.001425151	0.001050464	0.009796653	0.005005576	0.00253675	0
BACasv41	0.069595626	0.111661312	0.070402463	0.108407916	0.000158865	0	0.001496032	0.003862562
BACasv42	0.000541792	0	0	0.000378167	0.007996187	0.007508363	0.000520359	0.000403551
BACasv43	0	0	0	0	0	0	0	0
BACasv44	0.01423435	0.012549613	0.020693193	0.014454389	0.000900233	0.001635485	0.005073501	0.008935778
BACasv45	0.003004482	0.001209601	0.003933417	0.003445523	0.007095954	0.006071119	0.000650449	0.001671855
BACasv46	0.000492538	0.001852202	0.003192338	0.003865709	0.001906376	0.004336513	0	0
BACasv47	0.00310299	0.006917407	0.008835937	0.009076012	0.005189578	0.006814521	0.016326265	0.011472386
BACasv48	0	0	0	0	0.010114383	0.00956511	0	0
BACasv49	0	0	0	0	0.002330015	0.002230207	0	0
BACasv50	0	0	0.001083115	0	0.008313917	0.009862471	0.003447379	0.005015566
BACasv51	0.015219426	0.01999622	0.010489112	0.008193622	0	0	0.014244829	0.013893693
BACasv52	0.004383589	0.012058212	0.000912097	0.000798353	0	0	0	0.000807103
BACasv53	0.025070187	0.016518617	0.017101813	0.010966847	0.002012286	0.003766572	0.012943931	0.012510089
BACasv54	0.002167167	0.001965602	0.004788508	0.006428842	0.011597119	0.014248544	0.002861975	0.000922403
BACasv55	0	0	0	0	0	0	0.001430987	0
BACasv56	0	0	0	0	0.001588646	0.001313344	0.004553142	0
BACasv57	0.010392553	0.006917407	0.007011743	0.008193622	0	0	0.002731885	0.004900265
BACasv58	0	0	0.000912097	0.001260557	0.005401398	0.003816132	0	0
BACasv59	0	0	0	0	0	0	0	0
BACasv60	0	0	0.00057006	0.00058826	0.003759797	0.004311733	0	0
BACasv61	0	0	0	0	0.001853421	0.004410854	0	0
BACasv62	0	0	0	0	0	0	0.007870431	0.004554364
BACasv63	0.031670197	0.047401247	0.032379432	0.037900752	0	0	0.003707558	0.008301626
BACasv64	0.005417919	0.003591004	0.003477369	0.00235304	0	0	0.004748276	0.006918021
BACasv65	0	0	0	0	0.002118195	0.001462025	0	0
BACasv66	0	0	0	0	0	0.001189444	0	0
BACasv67	0	0	0.00028503	0.000420186	0.002753654	0.003989592	0.001496032	0
BACasv68	0.001920898	0.001247401	0.000513054	0.00058826	0.000741368	0.007136662	0	0.0001153
BACasv69	0	0	0	0	0.003336158	0.003419651	0	0
BACasv70	0.017632862	0.011529012	0.012997378	0.014160259	0.008419826	0.004138273	0.021464811	0.023348322
BACasv71	0	0	0	0	0.000529549	0.000916863	0	0
BACasv72	0.002265675	0.000869401	0.001596169	0.001848817	0.005242533	0.002800149	0.00292702	0.004784965
BACasv73	0	0	0	0	0.006036857	0.002775369	0	0
BACasv74	0.002364183	0.003213003	0.002565272	0.002142947	0	0	0.012033303	0.013893693
BACasv75	0	0	0	0	0	0.001908066	0	0
BACasv76	0	0	0	0	0.002806609	0.002924049	0	0
BACasv77	0	0	0	0	0.002435925	0.002626688	0	0
BACasv78	0	0	0	0	0.003442067	0.001536365	0	0
BACasv79	0.002610452	0.008127008	0.009063961	0.00617673	0	0	0.001886302	0.002248357
BACasv80	0	0	0	0	0.005295488	0.002874489	0	0
BACasv81	0.003989558	0.003553204	0.008037852	0.006849027	0	0	0.01385456	0.011530036
BACasv82	0.001625376	0.001323001	0	0.000672297	0.001800466	0.002081526	0.002081436	0.00328606
BACasv83	0.004432842	0.002683803	0.009919051	0.00764738	0	0	0.000975673	0.001268304
BACasv84	0.00206866	0.001058401	0.002394254	0.001428631	0	0.000322141	0.006049174	0.00651447
BACasv85	0.005220903	0.01013041	0.004218447	0.003025337	0	0	0.000910628	0.001383604
BACasv86	0.002364183	0	0.001083115	0	0	0.001164664	0.007024847	0.00334371
BACasv87	0	0.0003402	0	0	0.001747511	0.000941643	0	0
BACasv88	0.002856721	0.001587602	0	0.000924409	0	0	0	0
BACasv89	0	0	0	0	0.002912519	0.001065543	0	0
BACasv90	0	0	0	0	0.001906376	0.00307273	0.001756212	0.002651908
BACasv91	0.00660001	0.002532603	0.002337248	0.001722761	0.00683118	0.008450006	0.002016391	0.000518852
BACasv92	0	0	0	0	0.002700699	0.001660265	0	0
BACasv93	0	0	0	0	0.001588646	0.002155867	0	0
BACasv94	0	0	0	0	0.002012286	0.001239004	0.001561077	0
BACasv95	0.001231345	0.001814402	0.00057006	0	0.000688413	0.002205427	0.000780539	0
BACasv96	0	0	0	0	0.009373014	0.007409243	0	0
BACasv97	0	0	0	0	0	0.001412464	0	0
BACasv98	0.006107472	0.009109809	0.004959526	0.009790327	0	0	0.001951346	0.002594258
BACasv99	0	0	0	0	0.007307774	0.006071119	0	0
BACasv100	0	0	0	0	0.001906376	0.001660265	0	0
BACasv101	0.00039403	0.0003402	0.000798085	0.000462204	0.001747511	0.001561145	0	0
BACasv102	0	0	0	0	0.001641601	0.001263784	0.001886302	0.001383604
BACasv103	0	0	0	0	0	0	0	0
BACasv104	0.007880609	0.006652807	0.005415574	0.006849027	0	0	0	0
BACasv105	0	0	0	0	0.002965473	0.002131087	0	0
BACasv106	0	0	0	0	0.002330015	0.000792962	0	0
BACasv107	0.006255233	0.005670006	0.004788508	0.00058826	0	0	0	0
BACasv108	0.006550756	0.006237006	0.006213659	0.008865919	0	0	0.001300898	0.000980053
BACasv109	0.008767177	0.006917407	0.010204082	0.010378587	0	0	0.001300898	0.003689611
BACasv110	0.000443284	0	0	0	0.005030714	0.002874489	0	0.000172951
BACasv111	0.004629858	0.008013608	0.006213659	0.004790117	0	0	0.006569533	0.00639917
BACasv112	0	0.002192402	0	0.00147065	0.001747511	0.001536365	0	0
BACasv113	0	0	0	0	0.000476594	0	0	0
BACasv114	0	0	0	0	0.002594789	0.001462025	0	0
BACasv115	0	0	0	0	0	0	0	0
BACasv116	0.004285081	0.004195804	0.004560483	0.005252322	0.002965473	0.001486805	0.014570053	0.010146431
BACasv117	0	0	0	0	0	0	0.007740341	0
BACasv118	0.000935822	0.001096201	0	0	0.003547977	0.001908066	0	0
BACasv119	0.014923903	0.024116424	0.015619656	0.01382411	0	0	0	0.001729505
BACasv120	0	0	0	0	0.005877992	0.003047949	0	0
BACasv121	0	0	0	0	0	0.000892083	0.004423052	0.006860371
BACasv122	0	0	0	0.000210093	0	0	0.005073501	0.008993428
BACasv123	0	0.0002268	0	0	0.002647744	0.005278156	0	0
BACasv124	0	0	0	0	0.001376827	0.000669062	0	0
BACasv125	0.015761218	0.011566812	0.018013909	0.014832556	0	0	0.006374398	0.00968523
BACasv126	0	0	0.001767187	0.001302576	0	0.001833726	0.003252244	0.001844806
BACasv127	0	0	0	0	0	0	0.002992065	0.003747262
BACasv128	0	0	0	0	0.003653887	0.000495602	0.00266684	0.001210654
BACasv129	0	0	0	0	0.001588646	0.002007186	0	0
BACasv130	0	0.001134001	0	0	0	0	0.003252244	0.005880318
BACasv131	0.001674629	0.001814402	0.002280242	0.002269003	0.000317729	0.000173461	0	0.000461201
BACasv132	0.000640299	0.0004158	0.000969103	0.001260557	0	0	0	0
BACasv133	0.012017928	0.008316008	0.006726713	0.008571789	0	0	0	0.000807103
BACasv134	0	0	0	0	0	0.002948829	0	0
BACasv135	0	0.001323001	0.001140121	0	0.000582504	0	0.004292962	0.005246166
BACasv136	0	0.000642601	0	0.000840371	0	0	0.00292702	0.004381414
BACasv137	0.003447766	0.003477603	0.006498689	0.007563343	0	0	0.004032783	0.002651908
BACasv138	0.000886568	0	0	0	0	0	0.003187199	0.00317076
BACasv139	0	0	0	0	0.002594789	0.001139884	0	0
BACasv140	0	0	0	0	0.001535692	0.001338124	0	0
BACasv141	0.000935822	0.000982801	0.001254133	0.001386613	0.001112053	0.001982406	0.003057109	0.002421308
BACasv142	0.000492538	0	0.000798085	0.000378167	0	0	0	0
BACasv143	0.002610452	0.003402003	0.004275453	0.007017102	0.001694556	0.002849709	0.008846104	0.016315001
BACasv144	0	0	0	0	0	0	0.004032783	0.002133057
BACasv145	0	0	0	0	0.000582504	0	0	0
BACasv146	0	0	0	0	0.000582504	0.001139884	0	0
BACasv147	0.005811949	0.006161406	0.002793296	0.005210303	0	0	0	0
BACasv148	0	0	0	0	0.001482737	0.002899269	0	0
BACasv149	0.008126878	0.006955207	0.005016532	0.004748099	0	0	0.001300898	0.007090972
BACasv150	0.001625376	0	0.000627066	0.004832136	0	0	0	0.002536608
BACasv151	0	0	0	0	0	0	0.003577468	0.002248357
BACasv152	0	0	0.001539163	0.001344594	0	0	0	0
BACasv153	0	0	0	0	0.003865706	0.001065543	0	0
BACasv154	0	0	0	0	0.001165007	0.001214224	0	0
BACasv155	0.00103433	0.001323001	0.000912097	0.00058826	0	0	0.002146481	0.003459011
BACasv156	0	0	0	0	0.000582504	0.000396481	0	0
BACasv157	0.006747771	0.005518806	0.011515221	0.009748309	0	0.0001239	0.005528815	0.008359276
BACasv158	0	0.000529201	0	0	0	0	0.00253675	0.003055459
BACasv159	0.004826873	0.004044604	0	0.001344594	0	0	0.00266684	0.007033322
BACasv160	0.003398513	0	0.000342036	0	0	0.001808946	0	0
BACasv161	0	0	0	0	0	0.001090323	0	0
BACasv162	0.008077624	0.006237006	0.006384677	0.005168284	0	0	0.006894757	0.005765018
BACasv163	0	0	0	0	0	0	0.003512424	0.002075406
BACasv164	0.001625376	0.002797203	0.003477369	0.002395059	0	0.000495602	0.00572395	0.004612014
BACasv165	0.001132838	0.000718201	0	0	0	0	0.002731885	0.003574311
BACasv166	0.004629858	0.006841807	0.002679284	0.004790117	0	0	0	0
BACasv167	0.004285081	0.001701002	0.001026109	0.000840371	0.000741368	0.000892083	0.00279693	0.002882509
BACasv168	0.008520908	0.007673408	0.016816783	0.009076012	0.000582504	0	0.012943931	0.006110919
BACasv169	0.004038812	0.005972406	0.00820887	0.010252532	0	0	0	0.000288251
BACasv170	0.002758213	0.004762805	0.006612701	0.004033783	0	0	0.004488097	0.00334371
BACasv171	0.004580604	0.003893404	0.005073538	0.004453969	0	0	0	0
BACasv172	0.000738807	0.000907201	0	0	0	0	0.006504488	0.004554364
BACasv173	0	0	0	0	0.001217962	0.000768182	0.000390269	0
BACasv174	0	0	0	0.000630279	0	0.000792962	0	0.000749452
BACasv175	0	0	0	0	0.000529549	0	0.00533368	0.003747262
BACasv176	0	0	0	0	0.001165007	0.000892083	0	0
BACasv177	0.005516426	0.006879607	0.005529586	0.005168284	0.000688413	0	0.008650969	0.011530036
BACasv178	0	0	0	0	0	0.001982406	0	0
BACasv179	0.009801507	0.008958609	0.009463003	0.01029455	0	0	0.03531937	0.018793958
BACasv180	0	0	0.001710181	0.002563133	0	0	0.001561077	0.007206272
BACasv181	0	0.0004536	0.002223236	0.001596706	0	0.000322141	0	0
BACasv182	0	0	0	0	0.003230248	0.001660265	0	0
BACasv183	0	0	0.001368145	0.002142947	0.002435925	0.000966423	0.009886822	0.003516661
BACasv184	0	0.000793801	0.001083115	0.000966427	0	0	0.005138546	0.007263923
BACasv185	0.001723883	0.001852202	0.002223236	0.002016891	0	0	0.003772603	0.004554364
BACasv186	0.00039403	0	0	0.00029413	0	0.001139884	0	0.000691802
BACasv187	0	0	0	0	0.004607075	0.002403667	0	0
BACasv188	0	0	0	0	0.007307774	0	0.001626122	0
BACasv189	0	0	0	0	0	0	0.002146481	0.004496714
BACasv190	0	0	0	0	0	0	0.002081436	0.004496714
BACasv191	0.002561198	0.001890002	0.00245126	0.001680743	0	0	0.005008456	0.006802721
BACasv192	0	0	0	0	0.000370684	0.001437244	0	0.000980053
BACasv193	0	0	0	0	0	0	0	0
BACasv194	0	0	0	0	0.001006143	0.000892083	0	0
BACasv195	0	0	0	0	0.001006143	0.000792962	0	0
BACasv196	0.001231345	0.000756001	0.000969103	0	0	0	0.003252244	0.001498905
BACasv197	0.000640299	0.000529201	0	0.000378167	0	0	0.001951346	0.002651908
BACasv198	0	0	0	0	0	0	0.001040718	0.004381414
BACasv199	0.001773137	0	0	0.000798353	0	0	0	0
BACasv200	0	0	0	0	0	0.000272581	0	0
BACasv201	0.000640299	0	0	0	0.000635459	0.001362904	0.001951346	0
BACasv202	0.00453135	0.004158004	0.002679284	0.002521114	0	0	0	0
BACasv203	0.003546274	0.002570403	0.004275453	0.00235304	0	0	0	0.003055459
BACasv204	0.003053736	0.001965602	0.001653175	0.000840371	0	0	0.003577468	0.001153004
BACasv205	0	0	0	0	0	0	0	0
BACasv206	0.000886568	0	0.001710181	0.001974873	0	0	0	0.001614205
BACasv207	0	0	0	0	0.000317729	0.001759385	0	0
BACasv208	0.003595528	0.001134001	0.002622278	0.000630279	0	0	0.004162872	0.005188516
BACasv209	0.00206866	0.002759403	0.002679284	0.003109374	0	0	0	0.001614205
BACasv210	0.006944786	0.006312606	0.004218447	0.005630489	0	0	0	0.000807103
BACasv211	0.001625376	0.001285201	0.001710181	0.001260557	0	0	0.012748797	0.004439064
BACasv212	0	0	0	0	0.001112053	0.000569942	0	0
BACasv213	0	0	0	0	0.001006143	0.000842523	0	0
BACasv214	0.00103433	0.001247401	0.001140121	0.001134501	0	0	0.004618187	0
BACasv215	0	0	0	0	0	0.000842523	0	0
BACasv216	0.002019406	0.002835003	0.002052218	0.00264717	0	0	0	0
BACasv217	0.002511944	0.002003402	0.004047429	0.002269003	0	0	0.002081436	0.004727315
BACasv218	0	0	0	0	0	0	0	0.004035513
BACasv219	0	0	0.000684073	0.000462204	0.000370684	0	0	0
BACasv220	0.003053736	0.002608203	0.002508266	0.001848817	0	0	0.001040718	0.001441254
BACasv221	0	0	0	0	0.001906376	0.000817743	0	0
BACasv222	0	0	0	0	0	0.000545162	0	0
BACasv223	0	0	0	0	0	0.000768182	0	0
BACasv224	0.00142836	0.002797203	0.001710181	0.003907727	0	0	0	0
BACasv225	0.001576122	0.001134001	0.001653175	0.002815244	0	0	0	0
BACasv226	0.004679111	0.003666604	0.005358568	0.005168284	0	0	0.007154937	0.003689611
BACasv227	0.000443284	0.000982801	0	0.002184966	0	0	0.00253675	0.003977862
BACasv228	0.00310299	0.002608203	0.003762399	0.00411782	0	0	0.00026018	0.000634152
BACasv229	0.004334335	0.003893404	0.003078326	0.003697634	0	0	0.00292702	0.003689611
BACasv230	0	0	0	0	0	0	0	0
BACasv231	0.003546274	0.001890002	0.000342036	0.000504223	0.001323872	0.000867303	0	0.001383604
BACasv232	0	0.001549802	0	0.001932854	0	0	0.010537271	0.006283869
BACasv233	0.005073142	0.003213003	0.002850302	0.00411782	0	0	0.001626122	0.004554364
BACasv234	0.003152244	0	0	0	0	0.000594722	0	0
BACasv235	0.000788061	0.000642601	0	0.000924409	0	0.0001239	0	0
BACasv236	0	0	0	0	0.000953188	0	0	0
BACasv237	0	0	0	0	0.003918661	0	0.001235853	0
BACasv238	0	0	0	0	0	0.000991203	0	0
