source	target	weight	correlation
BACasv1	BACasv14	0.97007727214974	0.97007727214974
BACasv1	BACasv60	0.944227867127549	0.944227867127549
BACasv1	BACasv74	0.963855421686747	-0.963855421686747
BACasv1	BACasv101	0.951807228915663	0.951807228915663
BACasv1	BACasv155	0.987951807228916	-0.987951807228916
BACasv1	BACasv172	0.931468031085285	-0.931468031085285
BACasv1	BACasv177	0.97007727214974	-0.97007727214974
BACasv1	BACasv239	0.963855421686747	-0.963855421686747
BACasv1	BACasv243	0.969489370005787	-0.969489370005787
BACasv1	BACasv256	0.963855421686747	-0.963855421686747
BACasv1	BACasv352	0.946124746911475	-0.946124746911475
BACasv2	FUNasv314	0.96875	0.96875
BACasv2	ProASV15	0.929981109950554	0.929981109950554
BACasv3	BACasv8	0.959183673469388	0.959183673469388
BACasv3	BACasv11	1	1
BACasv3	BACasv12	0.959183673469388	0.959183673469388
BACasv3	BACasv13	1	1
BACasv3	BACasv20	0.959183673469388	0.959183673469388
BACasv3	BACasv22	0.959183673469388	0.959183673469388
BACasv3	BACasv23	1	1
BACasv3	BACasv28	0.959183673469388	0.959183673469388
BACasv3	BACasv30	0.959183673469388	0.959183673469388
BACasv3	BACasv31	1	1
BACasv3	BACasv36	1	1
BACasv3	BACasv37	1	1
BACasv3	BACasv38	1	1
BACasv3	BACasv48	1	1
BACasv3	BACasv49	1	1
BACasv3	BACasv61	0.959183673469388	0.959183673469388
BACasv3	BACasv65	1	1
BACasv3	BACasv69	0.959183673469388	0.959183673469388
BACasv3	BACasv71	0.959183673469388	0.959183673469388
BACasv3	BACasv73	1	1
BACasv3	BACasv76	0.959183673469388	0.959183673469388
BACasv3	BACasv77	0.959183673469388	0.959183673469388
BACasv3	BACasv78	1	1
BACasv3	BACasv80	1	1
BACasv3	BACasv89	1	1
BACasv3	BACasv92	1	1
BACasv3	BACasv93	0.959183673469388	0.959183673469388
BACasv3	BACasv96	1	1
BACasv3	BACasv99	1	1
BACasv3	BACasv100	1	1
BACasv3	BACasv105	1	1
BACasv3	BACasv106	1	1
BACasv3	BACasv114	1	1
BACasv3	BACasv120	1	1
BACasv3	BACasv124	1	1
BACasv3	BACasv129	0.959183673469388	0.959183673469388
BACasv3	BACasv139	1	1
BACasv3	BACasv140	1	1
BACasv3	BACasv146	0.959183673469388	0.959183673469388
BACasv3	BACasv148	0.959183673469388	0.959183673469388
BACasv3	BACasv153	1	1
BACasv3	BACasv154	0.959183673469388	0.959183673469388
BACasv3	BACasv156	1	1
BACasv3	BACasv176	1	1
BACasv3	BACasv182	1	1
BACasv3	BACasv187	1	1
BACasv3	BACasv194	1	1
BACasv3	BACasv195	1	1
BACasv3	BACasv207	0.959183673469388	0.959183673469388
BACasv3	BACasv212	1	1
BACasv3	BACasv213	1	1
BACasv3	BACasv221	1	1
BACasv3	BACasv251	0.959183673469388	0.959183673469388
BACasv3	BACasv267	0.959183673469388	0.959183673469388
BACasv3	BACasv268	1	1
BACasv3	BACasv285	1	1
BACasv3	BACasv305	1	1
BACasv3	BACasv324	1	1
BACasv3	BACasv374	0.959183673469388	0.959183673469388
BACasv3	BACasv389	0.959183673469388	0.959183673469388
BACasv3	BACasv413	0.959183673469388	0.959183673469388
BACasv3	BACasv440	1	1
BACasv3	BACasv442	1	1
BACasv3	BACasv450	0.959183673469388	0.959183673469388
BACasv3	BACasv514	1	1
BACasv3	BACasv522	1	1
BACasv3	BACasv562	0.959183673469388	0.959183673469388
BACasv3	BACasv581	1	1
BACasv3	BACasv597	1	1
BACasv3	BACasv672	1	1
BACasv3	BACasv890	1	1
BACasv3	FUNasv317	0.959183673469388	0.959183673469388
BACasv3	FUNasv462	0.959183673469388	0.959183673469388
BACasv3	FUNasv583	1	1
BACasv3	FUNasv641	0.959183673469388	0.959183673469388
BACasv3	ProASV3	0.959183673469388	0.959183673469388
BACasv3	ProASV22	1	1
BACasv3	ProASV106	1	1
BACasv4	BACasv50	0.95150257112482	0.95150257112482
BACasv4	BACasv85	0.946124746911475	-0.946124746911475
BACasv4	BACasv147	0.938590635448906	-0.938590635448906
BACasv4	BACasv262	0.927105069301107	-0.927105069301107
BACasv4	BACasv280	0.938590635448906	-0.938590635448906
BACasv4	BACasv339	0.938590635448906	-0.938590635448906
BACasv4	BACasv353	0.938590635448906	-0.938590635448906
BACasv4	FUNasv71	0.928571428571429	-0.928571428571429
BACasv4	FUNasv83	0.927105069301107	-0.927105069301107
BACasv4	FUNasv99	0.952380952380952	-0.952380952380952
BACasv4	FUNasv136	0.95150257112482	-0.95150257112482
BACasv4	FUNasv137	0.975900072948533	-0.975900072948533
BACasv4	FUNasv152	0.976190476190476	-0.976190476190476
BACasv4	FUNasv221	0.938590635448906	-0.938590635448906
BACasv4	FUNasv223	0.952380952380952	0.952380952380952
BACasv4	FUNasv227	0.928571428571429	-0.928571428571429
BACasv4	FUNasv232	0.95150257112482	-0.95150257112482
BACasv4	ProASV15	0.938590635448906	0.938590635448906
BACasv6	BACasv229	0.946124746911475	-0.946124746911475
BACasv6	BACasv272	0.927105069301107	-0.927105069301107
BACasv6	ProASV248	0.946124746911475	-0.946124746911475
BACasv7	BACasv25	0.952380952380952	0.952380952380952
BACasv7	BACasv27	0.97007727214974	0.97007727214974
BACasv7	BACasv41	0.928571428571429	-0.928571428571429
BACasv7	BACasv52	0.927105069301107	-0.927105069301107
BACasv7	BACasv79	0.946124746911475	-0.946124746911475
BACasv7	BACasv85	0.97007727214974	-0.97007727214974
BACasv7	BACasv119	0.975900072948533	-0.975900072948533
BACasv7	BACasv334	0.994029797388005	-0.994029797388005
BACasv7	BACasv414	0.938590635448906	-0.938590635448906
BACasv7	BACasv807	0.938590635448906	-0.938590635448906
BACasv7	FUNasv49	0.97007727214974	-0.97007727214974
BACasv7	FUNasv71	0.952380952380952	-0.952380952380952
BACasv7	FUNasv99	0.928571428571429	-0.928571428571429
BACasv7	FUNasv106	0.938590635448906	-0.938590635448906
BACasv7	FUNasv117	0.938590635448906	-0.938590635448906
BACasv7	FUNasv120	0.938590635448906	-0.938590635448906
BACasv7	FUNasv123	0.938590635448906	-0.938590635448906
BACasv7	FUNasv125	0.938590635448906	-0.938590635448906
BACasv7	FUNasv140	0.95150257112482	-0.95150257112482
BACasv7	FUNasv160	0.952380952380952	-0.952380952380952
BACasv7	FUNasv227	0.976190476190476	-0.976190476190476
BACasv7	FUNasv238	0.938590635448906	-0.938590635448906
BACasv7	FUNasv307	0.976190476190476	0.976190476190476
BACasv7	FUNasv341	0.938590635448906	0.938590635448906
BACasv7	FUNasv343	0.95150257112482	0.95150257112482
BACasv7	ProASV193	0.951876318105963	-0.951876318105963
BACasv8	BACasv11	0.959183673469388	0.959183673469388
BACasv8	BACasv12	1	1
BACasv8	BACasv13	0.959183673469388	0.959183673469388
BACasv8	BACasv20	1	1
BACasv8	BACasv22	1	1
BACasv8	BACasv23	0.959183673469388	0.959183673469388
BACasv8	BACasv28	1	1
BACasv8	BACasv30	1	1
BACasv8	BACasv31	0.959183673469388	0.959183673469388
BACasv8	BACasv36	0.959183673469388	0.959183673469388
BACasv8	BACasv37	0.959183673469388	0.959183673469388
BACasv8	BACasv38	0.959183673469388	0.959183673469388
BACasv8	BACasv48	0.959183673469388	0.959183673469388
BACasv8	BACasv49	0.959183673469388	0.959183673469388
BACasv8	BACasv61	1	1
BACasv8	BACasv65	0.959183673469388	0.959183673469388
BACasv8	BACasv69	1	1
BACasv8	BACasv71	1	1
BACasv8	BACasv73	0.959183673469388	0.959183673469388
BACasv8	BACasv76	1	1
BACasv8	BACasv77	1	1
BACasv8	BACasv78	0.959183673469388	0.959183673469388
BACasv8	BACasv80	0.959183673469388	0.959183673469388
BACasv8	BACasv89	0.959183673469388	0.959183673469388
BACasv8	BACasv92	0.959183673469388	0.959183673469388
BACasv8	BACasv93	1	1
BACasv8	BACasv96	0.959183673469388	0.959183673469388
BACasv8	BACasv99	0.959183673469388	0.959183673469388
BACasv8	BACasv100	0.959183673469388	0.959183673469388
BACasv8	BACasv105	0.959183673469388	0.959183673469388
BACasv8	BACasv106	0.959183673469388	0.959183673469388
BACasv8	BACasv114	0.959183673469388	0.959183673469388
BACasv8	BACasv120	0.959183673469388	0.959183673469388
BACasv8	BACasv124	0.959183673469388	0.959183673469388
BACasv8	BACasv129	1	1
BACasv8	BACasv139	0.959183673469388	0.959183673469388
BACasv8	BACasv140	0.959183673469388	0.959183673469388
BACasv8	BACasv146	1	1
BACasv8	BACasv148	1	1
BACasv8	BACasv153	0.959183673469388	0.959183673469388
BACasv8	BACasv154	1	1
BACasv8	BACasv156	0.959183673469388	0.959183673469388
BACasv8	BACasv176	0.959183673469388	0.959183673469388
BACasv8	BACasv182	0.959183673469388	0.959183673469388
BACasv8	BACasv187	0.959183673469388	0.959183673469388
BACasv8	BACasv194	0.959183673469388	0.959183673469388
BACasv8	BACasv195	0.959183673469388	0.959183673469388
BACasv8	BACasv207	1	1
BACasv8	BACasv212	0.959183673469388	0.959183673469388
BACasv8	BACasv213	0.959183673469388	0.959183673469388
BACasv8	BACasv221	0.959183673469388	0.959183673469388
BACasv8	BACasv251	1	1
BACasv8	BACasv267	1	1
BACasv8	BACasv268	0.959183673469388	0.959183673469388
BACasv8	BACasv285	0.959183673469388	0.959183673469388
BACasv8	BACasv305	0.959183673469388	0.959183673469388
BACasv8	BACasv324	0.959183673469388	0.959183673469388
BACasv8	BACasv374	1	1
BACasv8	BACasv389	1	1
BACasv8	BACasv413	1	1
BACasv8	BACasv440	0.959183673469388	0.959183673469388
BACasv8	BACasv442	0.959183673469388	0.959183673469388
BACasv8	BACasv450	1	1
BACasv8	BACasv514	0.959183673469388	0.959183673469388
BACasv8	BACasv522	0.959183673469388	0.959183673469388
BACasv8	BACasv562	1	1
BACasv8	BACasv581	0.959183673469388	0.959183673469388
BACasv8	BACasv597	0.959183673469388	0.959183673469388
BACasv8	BACasv672	0.959183673469388	0.959183673469388
BACasv8	BACasv890	0.959183673469388	0.959183673469388
BACasv8	FUNasv317	1	1
BACasv8	FUNasv462	1	1
BACasv8	FUNasv583	0.959183673469388	0.959183673469388
BACasv8	FUNasv641	1	1
BACasv8	ProASV3	1	1
BACasv8	ProASV22	0.959183673469388	0.959183673469388
BACasv8	ProASV106	0.959183673469388	0.959183673469388
BACasv10	ProASV101	0.976190476190476	-0.976190476190476
BACasv11	BACasv12	0.959183673469388	0.959183673469388
BACasv11	BACasv13	1	1
BACasv11	BACasv20	0.959183673469388	0.959183673469388
BACasv11	BACasv22	0.959183673469388	0.959183673469388
BACasv11	BACasv23	1	1
BACasv11	BACasv28	0.959183673469388	0.959183673469388
BACasv11	BACasv30	0.959183673469388	0.959183673469388
BACasv11	BACasv31	1	1
BACasv11	BACasv36	1	1
BACasv11	BACasv37	1	1
BACasv11	BACasv38	1	1
BACasv11	BACasv48	1	1
BACasv11	BACasv49	1	1
BACasv11	BACasv61	0.959183673469388	0.959183673469388
BACasv11	BACasv65	1	1
BACasv11	BACasv69	0.959183673469388	0.959183673469388
BACasv11	BACasv71	0.959183673469388	0.959183673469388
BACasv11	BACasv73	1	1
BACasv11	BACasv76	0.959183673469388	0.959183673469388
BACasv11	BACasv77	0.959183673469388	0.959183673469388
BACasv11	BACasv78	1	1
BACasv11	BACasv80	1	1
BACasv11	BACasv89	1	1
BACasv11	BACasv92	1	1
BACasv11	BACasv93	0.959183673469388	0.959183673469388
BACasv11	BACasv96	1	1
BACasv11	BACasv99	1	1
BACasv11	BACasv100	1	1
BACasv11	BACasv105	1	1
BACasv11	BACasv106	1	1
BACasv11	BACasv114	1	1
BACasv11	BACasv120	1	1
BACasv11	BACasv124	1	1
BACasv11	BACasv129	0.959183673469388	0.959183673469388
BACasv11	BACasv139	1	1
BACasv11	BACasv140	1	1
BACasv11	BACasv146	0.959183673469388	0.959183673469388
BACasv11	BACasv148	0.959183673469388	0.959183673469388
BACasv11	BACasv153	1	1
BACasv11	BACasv154	0.959183673469388	0.959183673469388
BACasv11	BACasv156	1	1
BACasv11	BACasv176	1	1
BACasv11	BACasv182	1	1
BACasv11	BACasv187	1	1
BACasv11	BACasv194	1	1
BACasv11	BACasv195	1	1
BACasv11	BACasv207	0.959183673469388	0.959183673469388
BACasv11	BACasv212	1	1
BACasv11	BACasv213	1	1
BACasv11	BACasv221	1	1
BACasv11	BACasv251	0.959183673469388	0.959183673469388
BACasv11	BACasv267	0.959183673469388	0.959183673469388
BACasv11	BACasv268	1	1
BACasv11	BACasv285	1	1
BACasv11	BACasv305	1	1
BACasv11	BACasv324	1	1
BACasv11	BACasv374	0.959183673469388	0.959183673469388
BACasv11	BACasv389	0.959183673469388	0.959183673469388
BACasv11	BACasv413	0.959183673469388	0.959183673469388
BACasv11	BACasv440	1	1
BACasv11	BACasv442	1	1
BACasv11	BACasv450	0.959183673469388	0.959183673469388
BACasv11	BACasv514	1	1
BACasv11	BACasv522	1	1
BACasv11	BACasv562	0.959183673469388	0.959183673469388
BACasv11	BACasv581	1	1
BACasv11	BACasv597	1	1
BACasv11	BACasv672	1	1
BACasv11	BACasv890	1	1
BACasv11	FUNasv317	0.959183673469388	0.959183673469388
BACasv11	FUNasv462	0.959183673469388	0.959183673469388
BACasv11	FUNasv583	1	1
BACasv11	FUNasv641	0.959183673469388	0.959183673469388
BACasv11	ProASV3	0.959183673469388	0.959183673469388
BACasv11	ProASV22	1	1
BACasv11	ProASV106	1	1
BACasv12	BACasv13	0.959183673469388	0.959183673469388
BACasv12	BACasv20	1	1
BACasv12	BACasv22	1	1
BACasv12	BACasv23	0.959183673469388	0.959183673469388
BACasv12	BACasv28	1	1
BACasv12	BACasv30	1	1
BACasv12	BACasv31	0.959183673469388	0.959183673469388
BACasv12	BACasv36	0.959183673469388	0.959183673469388
BACasv12	BACasv37	0.959183673469388	0.959183673469388
BACasv12	BACasv38	0.959183673469388	0.959183673469388
BACasv12	BACasv48	0.959183673469388	0.959183673469388
BACasv12	BACasv49	0.959183673469388	0.959183673469388
BACasv12	BACasv61	1	1
BACasv12	BACasv65	0.959183673469388	0.959183673469388
BACasv12	BACasv69	1	1
BACasv12	BACasv71	1	1
BACasv12	BACasv73	0.959183673469388	0.959183673469388
BACasv12	BACasv76	1	1
BACasv12	BACasv77	1	1
BACasv12	BACasv78	0.959183673469388	0.959183673469388
BACasv12	BACasv80	0.959183673469388	0.959183673469388
BACasv12	BACasv89	0.959183673469388	0.959183673469388
BACasv12	BACasv92	0.959183673469388	0.959183673469388
BACasv12	BACasv93	1	1
BACasv12	BACasv96	0.959183673469388	0.959183673469388
BACasv12	BACasv99	0.959183673469388	0.959183673469388
BACasv12	BACasv100	0.959183673469388	0.959183673469388
BACasv12	BACasv105	0.959183673469388	0.959183673469388
BACasv12	BACasv106	0.959183673469388	0.959183673469388
BACasv12	BACasv114	0.959183673469388	0.959183673469388
BACasv12	BACasv120	0.959183673469388	0.959183673469388
BACasv12	BACasv124	0.959183673469388	0.959183673469388
BACasv12	BACasv129	1	1
BACasv12	BACasv139	0.959183673469388	0.959183673469388
BACasv12	BACasv140	0.959183673469388	0.959183673469388
BACasv12	BACasv146	1	1
BACasv12	BACasv148	1	1
BACasv12	BACasv153	0.959183673469388	0.959183673469388
BACasv12	BACasv154	1	1
BACasv12	BACasv156	0.959183673469388	0.959183673469388
BACasv12	BACasv176	0.959183673469388	0.959183673469388
BACasv12	BACasv182	0.959183673469388	0.959183673469388
BACasv12	BACasv187	0.959183673469388	0.959183673469388
BACasv12	BACasv194	0.959183673469388	0.959183673469388
BACasv12	BACasv195	0.959183673469388	0.959183673469388
BACasv12	BACasv207	1	1
BACasv12	BACasv212	0.959183673469388	0.959183673469388
BACasv12	BACasv213	0.959183673469388	0.959183673469388
BACasv12	BACasv221	0.959183673469388	0.959183673469388
BACasv12	BACasv251	1	1
BACasv12	BACasv267	1	1
BACasv12	BACasv268	0.959183673469388	0.959183673469388
BACasv12	BACasv285	0.959183673469388	0.959183673469388
BACasv12	BACasv305	0.959183673469388	0.959183673469388
BACasv12	BACasv324	0.959183673469388	0.959183673469388
BACasv12	BACasv374	1	1
BACasv12	BACasv389	1	1
BACasv12	BACasv413	1	1
BACasv12	BACasv440	0.959183673469388	0.959183673469388
BACasv12	BACasv442	0.959183673469388	0.959183673469388
BACasv12	BACasv450	1	1
BACasv12	BACasv514	0.959183673469388	0.959183673469388
BACasv12	BACasv522	0.959183673469388	0.959183673469388
BACasv12	BACasv562	1	1
BACasv12	BACasv581	0.959183673469388	0.959183673469388
BACasv12	BACasv597	0.959183673469388	0.959183673469388
BACasv12	BACasv672	0.959183673469388	0.959183673469388
