label	Kindom	Abundance
BACasv1	Bac	1.988708975
BACasv2	Bac	1.538607275
BACasv3	Bac	0.293326288
BACasv4	Bac	2.185264775
BACasv6	Bac	1.727295338
BACasv7	Bac	0.493482175
BACasv8	Bac	0.162428575
BACasv10	Bac	2.177249088
BACasv11	Bac	1.454253925
BACasv12	Bac	0.294518375
BACasv13	Bac	0.471845088
BACasv14	Bac	1.971890838
BACasv15	Bac	0.125758888
BACasv16	Bac	3.37695095
BACasv17	Bac	0.42308085
BACasv19	Bac	0.632129675
BACasv20	Bac	0.5413523
BACasv21	Bac	0.907112238
BACasv22	Bac	0.229653113
BACasv23	Bac	0.296652975
BACasv24	Bac	1.063087863
BACasv25	Bac	0.938986775
BACasv26	Bac	0.771907888
BACasv27	Bac	0.924804025
BACasv28	Bac	0.016798713
BACasv29	Bac	0.462333688
BACasv30	Bac	0.218709963
BACasv31	Bac	0.471055838
BACasv32	Bac	0.401130588
BACasv33	Bac	1.581720113
BACasv34	Bac	0.41016955
BACasv35	Bac	1.178674838
BACasv36	Bac	0.166816113
BACasv37	Bac	0.069100063
BACasv38	Bac	0.045639563
BACasv39	Bac	0.104695713
BACasv40	Bac	0.2593802
BACasv41	Bac	4.5698097
BACasv44	Bac	0.980956775
BACasv45	Bac	0.33853
BACasv46	Bac	0.19557095
BACasv47	Bac	0.8466887
BACasv48	Bac	0.245993663
BACasv49	Bac	0.057002775
BACasv50	Bac	0.3465306
BACasv51	Bac	1.025461275
BACasv52	Bac	0.236991925
BACasv53	Bac	1.261129275
BACasv54	Bac	0.562252
BACasv55	Bac	0.017887338
BACasv56	Bac	0.09318915
BACasv57	Bac	0.501843438
BACasv58	Bac	0.1423773
BACasv60	Bac	0.115373125
BACasv61	Bac	0.078303438
BACasv62	Bac	0.155309938
BACasv63	Bac	2.01701015
BACasv64	Bac	0.331320363
BACasv65	Bac	0.04475275
BACasv66	Bac	0.01486805
BACasv67	Bac	0.111806175
BACasv68	Bac	0.153286788
BACasv69	Bac	0.084447613
BACasv70	Bac	1.421134288
BACasv71	Bac	0.01808015
BACasv72	Bac	0.279184113
BACasv73	Bac	0.110152825
BACasv74	Bac	0.452655013
BACasv75	Bac	0.023850825
BACasv76	Bac	0.071633225
BACasv77	Bac	0.063282663
BACasv78	Bac	0.0622304
BACasv79	Bac	0.376410125
BACasv80	Bac	0.102124713
BACasv81	Bac	0.597677963
BACasv82	Bac	0.160877025
BACasv83	Bac	0.336588163
BACasv84	Bac	0.247946638
BACasv85	Bac	0.311116613
BACasv86	Bac	0.187256488
BACasv87	Bac	0.037866925
BACasv88	Bac	0.06710915
BACasv89	Bac	0.049725775
BACasv90	Bac	0.117340325
BACasv91	Bac	0.387613138
BACasv92	Bac	0.05451205
BACasv93	Bac	0.046806413
BACasv94	Bac	0.060154588
BACasv96	Bac	0.209778213
BACasv97	Bac	0.0176558
BACasv98	Bac	0.431409225
BACasv99	Bac	0.167236163
BACasv100	Bac	0.044583013
BACasv101	Bac	0.066289688
BACasv102	Bac	0.077191138
BACasv104	Bac	0.334975213
BACasv105	Bac	0.063707
BACasv106	Bac	0.039037213
BACasv107	Bac	0.216275088
BACasv108	Bac	0.376853638
BACasv109	Bac	0.515722025
BACasv110	Bac	0.106517975
BACasv112	Bac	0.0868366
BACasv113	Bac	0.005957425
BACasv114	Bac	0.050710175
BACasv116	Bac	0.59328065
BACasv117	Bac	0.096754263
BACasv118	Bac	0.093600825
BACasv119	Bac	0.877669975
BACasv120	Bac	0.111574263
BACasv121	Bac	0.152193825
BACasv122	Bac	0.178462775
BACasv123	Bac	0.10190875
BACasv124	Bac	0.025573613
BACasv125	Bac	0.952926538
BACasv126	Bac	0.125006738
BACasv127	Bac	0.084241588
BACasv128	Bac	0.100337288
BACasv129	Bac	0.0449479
BACasv130	Bac	0.128332038
BACasv131	Bac	0.112383338
BACasv132	Bac	0.041071988
BACasv133	Bac	0.455494263
BACasv134	Bac	0.036860363
BACasv135	Bac	0.157309425
BACasv136	Bac	0.109892575
BACasv137	Bac	0.34590115
BACasv138	Bac	0.090556588
BACasv139	Bac	0.046683413
BACasv140	Bac	0.0359227
BACasv141	Bac	0.164153063
BACasv142	Bac	0.020859875
BACasv143	Bac	0.58762975
BACasv144	Bac	0.077073
BACasv145	Bac	0.0072813
BACasv146	Bac	0.02152985
BACasv147	Bac	0.249711925
BACasv148	Bac	0.054775075
BACasv149	Bac	0.415482325
BACasv150	Bac	0.120264825
BACasv151	Bac	0.072822813
BACasv152	Bac	0.036046963
BACasv153	Bac	0.061640613
BACasv154	Bac	0.029740388
BACasv155	Bac	0.11828975
BACasv156	Bac	0.012237313
BACasv157	Bac	0.594276225
BACasv158	Bac	0.076517625
BACasv159	Bac	0.248952913
BACasv161	Bac	0.013629038
BACasv162	Bac	0.481592075
BACasv163	Bac	0.069847875
BACasv164	Bac	0.264082163
BACasv165	Bac	0.101965438
BACasv166	Bac	0.236763325
BACasv167	Bac	0.189568163
BACasv168	Bac	0.771555813
BACasv169	Bac	0.359510888
BACasv170	Bac	0.324991363
BACasv171	Bac	0.225018938
BACasv172	Bac	0.15881075
BACasv173	Bac	0.029705163
BACasv175	Bac	0.120131138
BACasv176	Bac	0.025713625
BACasv177	Bac	0.549541513
BACasv178	Bac	0.024780075
BACasv179	Bac	1.157887463
BACasv180	Bac	0.163008288
BACasv181	Bac	0.057446038
BACasv182	Bac	0.061131413
BACasv183	Bac	0.253961538
BACasv184	Bac	0.19057265
BACasv185	Bac	0.201789738
BACasv186	Bac	0.031498075
BACasv187	Bac	0.087634275
BACasv188	Bac	0.1116737
BACasv189	Bac	0.083039938
BACasv190	Bac	0.082226875
BACasv191	Bac	0.25492975
BACasv192	Bac	0.034849763
BACasv194	Bac	0.023727825
BACasv195	Bac	0.022488813
BACasv196	Bac	0.096344975
BACasv197	Bac	0.076886513
BACasv198	Bac	0.06777665
BACasv199	Bac	0.032143625
BACasv200	Bac	0.003407263
BACasv202	Bac	0.1736219
BACasv203	Bac	0.197507863
BACasv204	Bac	0.15304195
BACasv206	Bac	0.077322838
BACasv207	Bac	0.025963925
BACasv208	Bac	0.216668425
BACasv209	Bac	0.152886575
BACasv210	Bac	0.298917888
BACasv211	Bac	0.2883647
BACasv212	Bac	0.021024938
BACasv213	Bac	0.023108325
BACasv214	Bac	0.11468175
BACasv215	Bac	0.010531538
BACasv216	Bac	0.119422463
BACasv217	Bac	0.220506613
BACasv218	Bac	0.050443913
BACasv220	Bac	0.156262425
BACasv221	Bac	0.034051488
BACasv222	Bac	0.006814525
BACasv223	Bac	0.009602275
BACasv224	Bac	0.123043388
BACasv225	Bac	0.089731775
BACasv226	Bac	0.371463938
BACasv227	Bac	0.126570788
BACasv228	Bac	0.1810718
BACasv229	Bac	0.270254125
BACasv231	Bac	0.123216425
BACasv232	Bac	0.25379745
BACasv233	Bac	0.267934413
BACasv234	Bac	0.046837075
BACasv235	Bac	0.030987138
BACasv236	Bac	0.01191485
BACasv237	Bac	0.064431425
BACasv238	Bac	0.012390038
BACasv239	Bac	0.240962863
BACasv240	Bac	0.019514313
BACasv241	Bac	0.123805913
BACasv242	Bac	0.084294575
BACasv243	Bac	0.125127525
BACasv244	Bac	0.153296888
BACasv245	Bac	0.134553838
BACasv246	Bac	0.11253475
BACasv247	Bac	0.011089975
BACasv248	Bac	0.132050538
BACasv249	Bac	0.239899563
BACasv250	Bac	0.105400438
BACasv251	Bac	0.027007775
BACasv253	Bac	0.0018585
BACasv254	Bac	0.415205
BACasv255	Bac	0.083281338
BACasv256	Bac	0.220236363
BACasv257	Bac	0.12120325
BACasv258	Bac	0.133671125
BACasv259	Bac	0.063784925
BACasv260	Bac	0.007434025
BACasv261	Bac	0.011252913
BACasv262	Bac	0.271799413
BACasv263	Bac	0.079713638
BACasv264	Bac	0.138113713
BACasv266	Bac	0.034477663
BACasv267	Bac	0.04277965
BACasv268	Bac	0.0279116
BACasv269	Bac	0.040355125
BACasv270	Bac	0.010531538
BACasv272	Bac	0.1509283
BACasv273	Bac	0.228867713
BACasv274	Bac	0.143417513
BACasv275	Bac	0.151842763
BACasv276	Bac	0.036406488
BACasv277	Bac	0.088735338
