nodes_id	degree	modularity
BACasv1	71	2
BACasv4	324	4
BACasv6	135	4
BACasv7	302	4
BACasv10	114	4
BACasv14	70	2
BACasv16	52	3
BACasv17	68	2
BACasv19	59	2
BACasv21	291	3
BACasv25	316	3
BACasv26	311	3
BACasv29	160	3
BACasv32	66	2
BACasv33	200	3
BACasv35	138	4
BACasv41	298	3
BACasv44	264	3
BACasv45	64	2
BACasv46	54	2
BACasv47	48	2
BACasv52	258	4
BACasv53	138	4
BACasv54	75	2
BACasv57	240	4
BACasv63	295	3
BACasv64	71	2
BACasv68	47	2
BACasv70	74	2
BACasv72	300	3
BACasv74	69	2
BACasv79	311	3
BACasv81	66	2
BACasv82	264	3
BACasv83	266	3
BACasv84	65	2
BACasv85	332	4
BACasv87	55	3
BACasv88	196	4
BACasv91	65	2
BACasv98	294	4
BACasv101	66	2
BACasv104	274	4
BACasv107	351	4
BACasv108	236	4
BACasv109	262	3
BACasv112	30	2
BACasv116	72	2
BACasv118	69	3
BACasv119	308	4
BACasv123	58	3
BACasv125	251	4
BACasv130	54	2
BACasv131	264	3
BACasv132	297	3
BACasv133	258	4
BACasv135	31	2
BACasv136	53	2
BACasv137	149	3
BACasv143	55	2
BACasv147	351	4
BACasv149	71	2
BACasv155	73	2
BACasv157	78	3
BACasv158	54	2
BACasv159	56	2
BACasv162	46	4
BACasv164	70	2
BACasv165	54	2
BACasv166	322	4
BACasv167	54	2
BACasv168	61	3
BACasv169	280	3
BACasv171	277	4
BACasv172	56	2
BACasv177	68	2
BACasv179	68	2
BACasv181	118	3
BACasv184	59	2
BACasv185	72	2
BACasv191	74	2
BACasv196	58	2
BACasv197	61	2
BACasv202	351	4
BACasv203	110	4
BACasv204	54	4
BACasv208	74	2
BACasv209	309	3
BACasv210	333	4
BACasv211	71	2
BACasv214	44	3
BACasv216	324	3
BACasv217	55	2
BACasv220	339	4
BACasv224	325	3
BACasv225	297	3
BACasv226	50	3
BACasv227	61	2
BACasv228	262	3
BACasv229	231	4
BACasv231	82	4
BACasv232	53	2
BACasv233	66	2
BACasv235	68	4
BACasv239	71	2
BACasv241	52	3
BACasv242	161	4
BACasv243	60	2
BACasv244	51	3
BACasv245	41	2
BACasv246	315	4
BACasv248	294	3
BACasv249	50	3
BACasv250	53	2
BACasv254	277	3
BACasv256	72	2
BACasv257	40	3
BACasv258	63	2
BACasv262	325	4
BACasv263	303	3
BACasv264	54	2
BACasv272	52	2
BACasv273	53	2
BACasv274	303	3
BACasv275	325	3
BACasv278	66	2
BACasv279	351	4
BACasv280	351	4
BACasv281	265	4
BACasv282	280	3
BACasv283	71	2
BACasv286	52	2
BACasv287	117	4
BACasv289	354	4
BACasv290	82	4
BACasv293	124	3
BACasv294	23	4
BACasv295	28	3
BACasv302	74	2
BACasv303	322	4
BACasv307	33	4
BACasv310	53	2
BACasv312	160	4
BACasv313	354	4
BACasv314	265	4
BACasv320	172	4
BACasv321	136	1
BACasv326	175	4
BACasv327	351	4
BACasv331	104	4
BACasv332	175	4
BACasv333	239	4
BACasv334	296	4
BACasv335	74	2
BACasv338	196	4
BACasv339	351	4
BACasv340	17	2
BACasv341	47	2
BACasv342	336	3
BACasv343	325	3
BACasv346	200	3
BACasv347	38	2
BACasv349	356	4
BACasv350	61	2
BACasv352	69	2
BACasv353	351	4
BACasv354	74	2
BACasv355	73	2
BACasv360	196	4
BACasv361	106	4
BACasv362	70	2
BACasv364	189	4
BACasv365	54	2
BACasv368	240	4
BACasv369	60	2
BACasv375	351	4
BACasv376	338	3
BACasv377	208	4
BACasv378	279	3
BACasv380	47	3
BACasv383	65	2
BACasv384	19	2
BACasv386	24	3
BACasv387	39	2
BACasv390	62	2
BACasv391	294	3
BACasv392	271	3
BACasv393	258	4
BACasv400	196	4
BACasv401	265	4
BACasv402	68	2
BACasv404	301	3
BACasv406	43	2
BACasv407	56	2
BACasv410	136	1
BACasv414	323	4
BACasv415	56	4
BACasv416	176	3
BACasv418	274	4
BACasv419	86	3
BACasv420	53	2
BACasv427	136	1
BACasv432	122	4
BACasv436	66	2
BACasv437	73	2
BACasv443	92	4
BACasv445	277	4
BACasv448	19	2
BACasv452	196	4
BACasv453	356	4
BACasv455	38	3
BACasv456	162	1
BACasv457	306	3
BACasv458	297	3
BACasv461	136	1
BACasv463	70	4
BACasv464	297	3
BACasv465	156	4
BACasv468	276	4
BACasv472	248	4
BACasv474	86	3
BACasv475	208	4
BACasv478	41	2
BACasv479	52	3
BACasv485	290	4
BACasv487	120	3
BACasv489	130	3
BACasv490	16	2
BACasv491	55	2
BACasv497	175	4
BACasv498	175	4
BACasv499	303	3
BACasv500	175	4
BACasv501	120	3
BACasv505	21	3
BACasv506	19	3
BACasv508	271	4
BACasv510	274	4
BACasv518	277	4
BACasv521	179	3
BACasv526	34	2
BACasv528	69	2
BACasv530	179	3
BACasv531	71	4
BACasv534	271	4
BACasv535	67	2
BACasv536	240	4
BACasv537	54	2
BACasv539	179	3
BACasv543	26	3
BACasv551	277	4
BACasv552	137	4
BACasv553	200	3
BACasv555	179	3
BACasv557	64	2
BACasv563	175	4
BACasv566	354	4
BACasv567	162	1
BACasv571	53	2
BACasv584	101	4
BACasv585	58	2
BACasv587	263	4
BACasv588	162	1
BACasv589	136	1
BACasv590	351	4
BACasv591	265	4
BACasv592	200	3
BACasv594	190	4
BACasv595	59	3
BACasv603	34	2
BACasv613	175	4
BACasv614	241	4
BACasv616	47	2
BACasv617	200	3
BACasv618	336	3
BACasv619	87	3
BACasv624	47	2
BACasv626	47	2
BACasv630	19	2
BACasv637	55	4
BACasv639	277	4
BACasv640	156	4
BACasv641	171	4
BACasv642	175	4
BACasv643	19	2
BACasv648	19	3
BACasv651	351	4
BACasv652	175	4
BACasv654	208	4
BACasv655	290	4
BACasv656	162	1
BACasv657	86	3
BACasv667	53	2
BACasv675	175	4
BACasv676	163	4
BACasv677	136	1
BACasv679	35	3
BACasv682	86	3
BACasv684	53	2
BACasv685	52	3
BACasv691	175	4
BACasv692	208	4
BACasv694	196	4
BACasv695	45	2
BACasv696	136	1
BACasv697	136	1
BACasv698	136	1
BACasv699	48	2
BACasv700	265	4
BACasv706	86	3
BACasv713	175	4
BACasv714	265	4
BACasv715	162	1
BACasv719	200	3
BACasv720	294	3
BACasv721	35	2
BACasv730	175	4
BACasv731	265	4
BACasv732	136	1
BACasv733	120	3
BACasv734	136	1
BACasv735	181	3
BACasv736	136	1
BACasv737	136	1
BACasv738	175	4
BACasv743	24	3
BACasv753	175	4
BACasv756	136	1
BACasv757	265	4
BACasv758	207	3
BACasv759	19	2
BACasv760	136	1
BACasv761	265	4
BACasv763	200	3
BACasv768	120	4
BACasv777	175	4
BACasv778	271	4
BACasv779	356	4
BACasv780	196	4
BACasv781	136	1
BACasv782	265	4
BACasv783	136	1
BACasv784	265	4
BACasv785	136	1
BACasv799	175	4
BACasv805	150	4
BACasv806	136	1
BACasv807	323	4
BACasv808	136	1
BACasv809	19	3
BACasv810	136	1
BACasv811	175	4
BACasv812	120	3
BACasv813	136	1
BACasv814	136	1
BACasv815	136	1
BACasv816	136	1
BACasv838	175	4
BACasv841	175	4
BACasv847	136	1
BACasv848	136	1
BACasv849	136	1
BACasv850	120	3
BACasv852	189	4
BACasv861	19	2
BACasv870	136	1
BACasv873	175	4
BACasv874	175	4
BACasv875	136	1
BACasv876	175	3
BACasv877	136	1
BACasv878	210	1
BACasv879	136	1
BACasv882	189	4
BACasv887	175	3
BACasv908	136	1
BACasv909	136	1
BACasv910	136	1
BACasv911	136	1
BACasv945	208	4
BACasv946	136	1
BACasv947	136	1
BACasv948	136	1
BACasv949	136	1
BACasv950	120	3
BACasv974	175	4
BACasv977	175	4
BACasv978	136	1
BACasv979	136	1
BACasv980	136	1
BACasv1000	136	1
BACasv1001	136	1
BACasv1002	136	1
BACasv1003	162	1
BACasv1004	136	1
BACasv1005	38	3
BACasv1009	86	3
BACasv1021	175	4
BACasv1022	136	1
BACasv1023	120	3
BACasv1040	136	1
FUNasv1	236	4
FUNasv2	40	2
FUNasv3	283	4
FUNasv4	130	3
FUNasv5	281	3
FUNasv6	164	3
FUNasv7	80	3
FUNasv8	260	3
FUNasv9	304	3
FUNasv10	301	4
FUNasv12	266	3
FUNasv13	26	3
FUNasv14	198	4
FUNasv15	65	3
FUNasv16	225	4
FUNasv17	109	3
FUNasv18	330	4
FUNasv20	274	4
FUNasv22	226	3
FUNasv23	17	3
FUNasv24	26	2
FUNasv25	275	3
FUNasv26	306	4
FUNasv27	253	3
FUNasv28	243	3
FUNasv30	221	4
FUNasv32	110	4
FUNasv33	305	4
FUNasv34	233	3
FUNasv35	319	4
FUNasv37	56	3
FUNasv38	222	4
FUNasv39	214	4
FUNasv40	197	4
FUNasv41	21	4
FUNasv43	266	3
FUNasv46	75	4
FUNasv47	84	3
FUNasv48	200	4
FUNasv49	297	4
FUNasv50	313	4
FUNasv51	288	4
FUNasv52	12	4
FUNasv53	158	3
FUNasv55	77	4
FUNasv58	223	4
FUNasv60	19	3
FUNasv61	114	3
FUNasv62	251	3
FUNasv63	224	4
FUNasv64	315	4
FUNasv65	295	4
FUNasv66	250	3
FUNasv68	16	3
FUNasv69	272	3
FUNasv70	297	4
FUNasv71	303	4
FUNasv73	306	3
FUNasv74	157	4
FUNasv75	245	4
FUNasv76	33	3
FUNasv77	19	3
FUNasv78	22	4
FUNasv79	16	3
FUNasv80	98	3
FUNasv81	296	3
FUNasv83	342	4
FUNasv84	356	4
FUNasv85	236	4
FUNasv86	47	4
FUNasv87	271	4
FUNasv88	310	3
FUNasv90	113	3
FUNasv92	183	4
FUNasv93	319	4
FUNasv94	156	4
FUNasv95	251	4
FUNasv96	39	3
FUNasv97	24	4
FUNasv98	243	3
FUNasv99	319	4
FUNasv101	211	3
FUNasv103	255	4
FUNasv104	272	4
FUNasv105	157	4
FUNasv106	323	4
FUNasv107	309	4
FUNasv110	293	4
FUNasv111	247	3
FUNasv112	310	3
FUNasv113	134	3
FUNasv114	159	3
FUNasv115	123	3
FUNasv116	222	4
FUNasv117	323	4
FUNasv118	240	4
FUNasv120	323	4
FUNasv122	187	4
FUNasv123	323	4
FUNasv124	260	3
FUNasv125	323	4
FUNasv126	134	4
FUNasv127	280	3
FUNasv128	23	3
FUNasv129	264	3
FUNasv130	282	4
FUNasv131	44	2
FUNasv132	25	4
FUNasv133	303	3
FUNasv134	177	3
FUNasv135	263	3
FUNasv136	332	4
FUNasv137	330	4
FUNasv138	255	4
FUNasv140	225	4
FUNasv141	23	3
FUNasv142	261	3
FUNasv144	250	4
FUNasv145	297	3
FUNasv146	234	3
FUNasv149	200	3
FUNasv150	316	4
FUNasv152	316	4
FUNasv153	41	3
FUNasv154	325	3
FUNasv155	288	4
FUNasv157	319	4
FUNasv160	327	4
FUNasv161	240	4
FUNasv164	312	4
FUNasv165	86	3
FUNasv167	227	4
FUNasv168	305	4
FUNasv169	245	3
FUNasv170	12	3
FUNasv172	68	3
FUNasv173	120	4
FUNasv175	234	4
FUNasv176	24	3
FUNasv177	118	3
FUNasv179	107	3
FUNasv181	18	3
FUNasv184	209	4
FUNasv185	297	3
FUNasv187	336	3
FUNasv188	274	4
FUNasv191	241	3
FUNasv193	303	3
FUNasv194	22	3
FUNasv196	93	4
FUNasv197	175	3
FUNasv198	36	2
FUNasv199	277	4
FUNasv200	138	3
FUNasv201	204	3
FUNasv202	243	3
FUNasv203	220	4
FUNasv204	68	3
FUNasv206	157	3
FUNasv208	199	3
FUNasv209	12	4
FUNasv210	256	4
FUNasv212	209	4
FUNasv215	284	3
FUNasv217	179	3
FUNasv218	112	4
FUNasv219	120	4
FUNasv220	19	3
FUNasv221	351	4
FUNasv222	280	3
FUNasv223	338	4
FUNasv225	71	2
FUNasv226	294	3
FUNasv227	332	4
FUNasv229	292	3
FUNasv231	81	3
FUNasv232	285	4
FUNasv233	179	3
FUNasv234	251	3
FUNasv236	164	4
FUNasv237	156	4
FUNasv238	323	4
FUNasv241	129	3
FUNasv243	31	3
FUNasv245	106	3
FUNasv246	35	2
FUNasv248	319	4
FUNasv249	354	4
FUNasv250	180	4
FUNasv251	179	3
FUNasv252	175	3
FUNasv253	60	3
FUNasv254	54	2
FUNasv255	18	3
FUNasv256	120	3
FUNasv257	120	4
FUNasv260	356	4
FUNasv262	306	4
FUNasv264	14	3
FUNasv265	49	2
FUNasv266	104	4
FUNasv267	89	3
FUNasv269	40	3
FUNasv270	207	3
FUNasv271	303	3
FUNasv273	92	4
FUNasv274	99	4
FUNasv277	137	4
FUNasv278	19	2
FUNasv280	17	4
FUNasv281	259	3
FUNasv283	196	4
FUNasv284	16	2
FUNasv285	189	4
FUNasv288	120	4
FUNasv290	80	3
FUNasv292	164	3
FUNasv295	287	3
FUNasv297	123	4
FUNasv300	226	4
FUNasv305	133	4
FUNasv307	295	4
FUNasv311	265	4
FUNasv312	49	3
FUNasv315	16	2
FUNasv316	322	4
FUNasv319	271	4
FUNasv321	179	3
FUNasv322	148	4
FUNasv323	238	4
FUNasv324	96	4
FUNasv326	240	4
FUNasv328	289	4
FUNasv334	175	4
FUNasv335	209	4
