nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
Aporcelaimellus	0.499693275134541	0.445163602631135	308	4
BACasv1	1.31754111271687	0.0920915712799167	62	2
BACasv10	-1.33526562413796	0.282559323361266	113	4
BACasv1003	-2.87364316784399	0.624567474048443	68	1
BACasv1007	0.363935932363034	0.384430473372781	104	1
BACasv1008	0.363935932363034	0.384430473372781	104	1
BACasv1009	0.528558598475255	0.597203978232314	146	1
BACasv101	1.31754111271687	0.0634238108035474	61	2
BACasv1025	1.21405479183966	0.591006944444444	240	3
BACasv1026	0.363935932363034	0.384430473372781	104	1
BACasv1027	0.363935932363034	0.384430473372781	104	1
BACasv104	1.08150951148923	0.147611407277056	278	4
BACasv1043	0.363935932363034	0.384430473372781	104	1
BACasv1044	0.363935932363034	0.384430473372781	104	1
BACasv107	1.12626460659344	0.0299556159551244	263	4
BACasv108	0.514611640169277	0.212034290022784	247	4
BACasv109	0.970039314455434	0.477875179355055	309	3
BACasv116	1.20592292288996	0.316603848442769	71	2
BACasv119	0.738387115690313	0.160615148019992	255	4
BACasv122	0.20135921444775	0.454876033057851	55	2
BACasv125	0.335591259752448	0.278108268887567	246	4
BACasv126	-2.36463281153472	0.330905306971904	31	4
BACasv131	0.216244339474562	0.46265030345013	311	4
BACasv132	0.559366735273484	0.459420632774473	344	4
BACasv133	0.827897305898727	0.216227992538228	271	4
BACasv136	0.480404689015031	0.23683198769704	51	2
BACasv137	1.05877221532243	0.454698350694444	192	3
BACasv14	1.20592292288996	0.095	60	2
BACasv141	-1.73806148007582	0.193066666666667	75	4
BACasv142	-1.3949390842769	0.437560065577478	133	4
BACasv143	0.20135921444775	0.405838376646493	53	2
BACasv147	1.14118297162818	0.090702947845805	273	4
BACasv149	-0.0776862601195313	0.526879587383456	71	2
BACasv152	1.05877221532243	0.399524375743163	174	3
BACasv155	1.31754111271687	0.0920915712799167	62	2
BACasv157	0.459825134470234	0.399754956560481	134	3
BACasv159	0.6478319737554	0.147635524798155	51	2
BACasv16	-1.02645095505187	0.529974489795918	56	3
BACasv162	-0.747395399081006	0.531229454306377	39	2
BACasv164	0.926877448322681	0.231111111111111	60	2
BACasv166	1.0665911464545	0.330921792434993	317	4
BACasv167	0.312977404274662	0.129132231404959	44	2
BACasv168	-0.937718054184878	0.5	56	3
BACasv169	0.18640760940509	0.477975918305136	324	4
BACasv17	1.03849563814959	0.128418549346017	58	2
BACasv171	0.723468750655577	0.222963423596585	266	4
BACasv177	0.982686543236137	0.130501692828563	57	2
BACasv179	1.26173201780342	0.232568500779684	67	2
BACasv180	-1.02645095505187	0.487426035502959	52	3
BACasv181	0.459825134470234	0.467953853549111	158	3
BACasv183	-1.79773494021476	0.253104455807158	74	4
BACasv184	0.480404689015031	0.32	55	2
BACasv185	0.815259258495769	0.327538422776518	63	2
BACasv186	-1.47291363295594	0.402777777777778	12	2
BACasv19	-0.0776862601195313	0.532235939643347	54	2
BACasv191	1.31754111271687	0.118921642731167	63	2
BACasv197	0.871068353409225	0.104938271604938	54	2
BACasv199	-2.03642878077054	0.285076530612245	56	4
BACasv202	1.12626460659344	0.0299556159551244	263	4
BACasv203	-1.70822475000635	0.48961937716263	102	4
BACasv204	-0.300922639773356	0.50882752376641	47	2
BACasv206	0.260176107519504	0.392623438429506	123	3
BACasv208	1.31754111271687	0.118921642731167	63	2
BACasv209	0.559366735273484	0.424660037624294	305	4
BACasv21	0.544448370238748	0.383174189814815	288	4
BACasv210	0.902489131072406	0.129858399860148	262	4
BACasv211	0.926877448322681	0.209135305946567	59	2
BACasv214	-1.49229868460357	0.647242455775234	31	3
BACasv216	0.827897305898727	0.395969305011669	318	4
BACasv217	-1.2704664324361	0.558205767176931	53	3
BACasv220	0.723468750655577	0.154353294068022	253	4
BACasv224	0.753305480725048	0.424733295632087	323	4
BACasv225	0.559366735273484	0.459420632774473	344	4
BACasv226	-1.04863418026862	0.478967097042899	49	3
BACasv227	0.982686543236137	0.157550535077289	58	2
BACasv228	0.970039314455434	0.477875179355055	309	3
BACasv229	-0.634102467505375	0.274872448979592	168	4
BACasv232	0.536213783928487	0.207612456747405	51	2
BACasv233	-0.356731734686813	0.617278106508876	65	2
BACasv235	-1.72314311504108	0.173511111111111	75	4
BACasv239	1.31754111271687	0.0920915712799167	62	2
BACasv241	-0.782435477667644	0.513774104683196	66	3
BACasv242	-0.947388133234826	0.422590719809637	164	4
BACasv244	-1.40356578373658	0.664256198347107	44	3
BACasv245	-0.356731734686813	0.520493827160494	45	2
BACasv246	0.932325861141877	0.355091916830834	313	4
BACasv248	0.544448370238748	0.457856399583767	341	4
BACasv249	-0.915534828968131	0.479747199080724	59	3
BACasv25	0.499693275134541	0.348455048910512	278	4
BACasv250	0.480404689015031	0.23683198769704	51	2
BACasv254	1.10313866575592	0.478993865977393	322	3
BACasv256	1.59658658728416	0.0855424370683894	67	2
BACasv257	-1.13736708113561	0.48875	40	3
BACasv258	1.03849563814959	0.155127836828498	59	2
BACasv259	0.368786499188119	0.375	56	2
BACasv26	0.350509624787183	0.346685653257387	265	4
BACasv262	0.872652401002934	0.104766845703125	256	4
BACasv263	0.559366735273484	0.463518958911349	348	4
BACasv27	0.260999434578769	0.372858838826389	266	4
BACasv272	0.257168309361206	0.311536859641816	49	2
BACasv273	-0.524159019427181	0.625133499466002	53	2
BACasv274	0.559366735273484	0.463518958911349	348	4
BACasv275	0.753305480725048	0.424733295632087	323	4
BACasv277	0.312977404274662	0.0886965927528394	43	2
BACasv278	0.926877448322681	0.209135305946567	59	2
BACasv279	1.12626460659344	0.0299556159551244	263	4
BACasv280	1.14118297162818	0.090702947845805	273	4
BACasv282	0.18640760940509	0.477975918305136	324	4
BACasv283	1.31754111271687	0.14404296875	64	2
BACasv287	-1.00706159337377	0.109194262674334	123	4
BACasv288	0.257168309361206	0.3392	50	2
BACasv289	1.23069316183659	0.0828890844159205	278	4
BACasv29	0.681657386637712	0.503115591962473	207	3
BACasv290	-1.88724513042318	0.4503125	80	4
BACasv293	-1.26067379896428	0.356949702541914	129	4
BACasv294	-1.36129544312902	0.538194444444444	24	2
BACasv302	0.0339319297073812	0.59504132231405	77	2
BACasv303	1.0665911464545	0.330921792434993	317	4
BACasv307	-1.24967725330211	0.56	35	2
