ID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
BACasv2	0	0	0	0	0.075990256	0.046983026	0	0.0001153
BACasv4	0.003743289	0.001852202	0.006213659	0.004285894	0.07667867	0.060339487	0.00839079	0.013317191
BACasv6	0.00413732	0.008920809	0.021833314	0.01911845	0.021976276	0.02584562	0.021074541	0.015277297
BACasv7	0.001723883	0.0002646	0.000855091	0.002016891	0.005401398	0.023392393	0.003057109	0.002767209
BACasv10	0.008619416	0.015309015	0.009577015	0.012143367	0.014191908	0.028051047	0.037400807	0.048887352
BACasv14	0.001674629	0.003515404	0.005073538	0.007605362	0.058197416	0.079519267	0.001300898	0.000864753
BACasv16	0.042358272	0.029181629	0.050621366	0.046598597	0	0.000569942	0.035969819	0.064856451
BACasv17	0.000837315	0.001965602	0.001710181	0.002269003	0.015303961	0.011126254	0	0.000634152
BACasv21	0.003743289	0.003250803	0.004047429	0.001974873	0.013397585	0.018634618	0.009821777	0.017698605
BACasv25	0.004038812	0.001701002	0.001824193	0.002226984	0.020864224	0.019824061	0.015415637	0.009224029
BACasv26	0.005713441	0.003666604	0.003705393	0.004327913	0.012073713	0.012241358	0.006764668	0.013259541
BACasv27	0.000837315	0	0	0.000714316	0.032884982	0.033577004	0.003837648	0.002133057
BACasv29	0.002708959	0.004120204	0.002679284	0.001344594	0.007996187	0.00956511	0.003902693	0.004669664
BACasv32	0.003940304	0.001965602	0.004446471	0.003907727	0.001853421	0	0.007675296	0.008301626
BACasv33	0.009407477	0.02003402	0.034887698	0.026891886	0.006142766	0.003717012	0.008911149	0.016545601
BACasv34	0	0	0	0	0	0	0.031026408	0.001787156
BACasv35	0.015908979	0.013494613	0.016189716	0.009580234	0.007678458	0.008078305	0.010277091	0.013086591
BACasv41	0.069595626	0.111661312	0.070402463	0.108407916	0.000158865	0	0.001496032	0.003862562
BACasv44	0.01423435	0.012549613	0.020693193	0.014454389	0.000900233	0.001635485	0.005073501	0.008935778
