"","x"
"Arable6-1",2.06084704273528
"Arable6-2",2.06948438627632
"Arable6-3",2.05780437100395
"Arable6-4",2.06093694332488
"Restored6-1",2.07721386415421
"Restored6-2",2.06668982377789
"Restored6-3",2.07445215650604
"Restored6-4",2.07824054798494
"Arable9-1",2.05096412655217
"Arable9-2",2.06470628205964
"Arable9-3",2.05860955870034
"Arable9-4",2.04970405012854
"Restored9-1",2.07731789674233
"Restored9-2",2.07354285052191
"Restored9-3",2.07741646004077
"Restored9-4",2.07535580205257
