"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10"
"Arable6-1",-0.1822620037234,-0.0289601496981504,0.0185208413710358,0.00623640541775134,-0.00515470743102256,-0.00770986081572605,0.0120015985986227,0.00574276888358846,0.0138980571149215,-0.00284168247795332
"Arable6-2",-0.184664818517778,-0.0306943123250415,0.0250144980795286,0.00318839695464076,-0.000514118416589476,0.000631025798594574,-0.0143012675526744,-0.00527282168322986,-0.0134888003626118,-0.00309132254525513
"Arable6-3",-0.103035246918502,0.0205763530647195,-0.0358026504822202,-0.0319472241168062,0.0042589494957462,0.0117635992858978,0.00778503007568658,-0.000869332535336901,-0.00212862574697913,-0.00473016648304307
"Arable6-4",-0.162163760566748,-0.00858728339580647,-0.00632864026789339,-0.00572493057597784,-0.000302106167973816,0.00399832124272427,0.0059037223938676,-0.00159352875852764,-0.00254518875507611,0.00941028959423964
"Restored6-1",0.0489024458655169,-0.0296695979965611,-0.0180121041027675,-0.0163898089520522,0.011653099932336,0.00344018477393145,0.0019985498697316,0.00354577643254474,-0.00176965204576932,0.00516366090302583
"Restored6-2",0.0679166635720998,-0.0898003492307083,0.0277641036156785,-0.00477961779700737,0.000771483413630452,0.000990822890283743,0.0029665010003836,0.000381972401419248,-0.00012579801771144,-0.000744545192771351
"Restored6-3",0.0929273286672924,0.0173990502553899,-0.000766562493816527,0.00327377879291446,0.0252774936866256,-0.0213118836111408,-0.000315837853888241,0.0126410784040332,-0.00648191011592187,-0.00125053922721418
"Restored6-4",0.0580198369647301,-0.0172376383088277,-0.0170059449625921,-0.00363268543396394,0.0149248034542569,0.000693409652438907,-0.004176631190794,-0.00363776424408175,0.0054467406969615,-0.00426561435464592
"Arable9-1",-0.0633573090182007,0.0193243436438608,-0.0268280979880123,0.0293331535280793,-0.0135688106819985,-0.021464411231085,0.00788343689174759,-0.000854786906496421,-0.0050557957815751,9.37423903755485e-06
"Arable9-2",-0.0484894350154588,0.00981151619788869,-0.0155102089620383,0.0150269308877968,0.010000603951636,0.00323704024330018,-0.0225821401534976,0.00030592651323724,0.0109716917770887,0.00239408643112199
"Arable9-3",-0.00753297216152813,0.0600579405461594,0.0174833992910109,-0.0310151681855245,-0.0192629030973459,-0.0133881276840208,-0.00771900927268566,-0.000493589077235727,0.00238291360037401,-0.00127683943132884
"Arable9-4",-0.0488456064593142,0.064637823367662,0.0215214603547587,0.0183672577274517,0.00539135572484256,0.0214826776085189,0.00335450161104524,0.00229066229083576,-0.000655693332952563,0.000501309877291148
"Restored9-1",0.133053315908105,0.0073081494880617,0.00739397440371073,0.00844987038332281,-0.0152226458026045,0.0217016731429473,0.00113014391703355,0.0122361209333044,-0.00290933697192872,-0.00149600939273755
"Restored9-2",0.129574245413798,-0.0338085284634102,-0.0326421560876286,0.00740870066118767,-0.0270528038256331,0.00178105372195329,-0.00485606663244335,-0.00251667370840167,-0.000224162163674589,-0.000243305215047754
"Restored9-3",0.158903037389469,0.0215223117643706,0.0292760949012832,-0.0112949185164691,-0.00386313003515362,-0.00934425382442136,0.00112769345879217,-0.00498148659440938,0.0022371222782591,0.00418783630239066
"Restored9-4",0.111054278599919,0.0181203710903929,0.00592199332996263,0.0134998592246553,0.0126634357992481,0.00349872880580341,0.00979977483907116,-0.0169243223512441,0.000448437826592923,-0.0017265330271109
